genre,titles,creator,group,nn1,nn2,nn3,nn4,nn5,nn1_group,nn2_group,nn3_group,nn4_group,nn5_group,nn1_js,nn2_js,nn3_js,nn4_js,nn5_js
videos,all,@60minutes,neutral,@NYTPodcasts,@ABCNews,@FoxNewsChannelClips,@PragerU,@CBSNews,left,neutral,right,right,neutral,0.618,0.637,0.649,0.655,0.657
videos,all,@ABCNews,neutral,@NBCNews,@CBSNews,@NewsNation,@USATODAY,@AssociatedPress,neutral,neutral,neutral,neutral,neutral,0.342,0.356,0.394,0.423,0.437
videos,all,@ANINewsIndia,neutral,@Firstpost,@nousnetwork,@aljazeeraenglish,@AssociatedPress,@Reuters,neutral,left,left,neutral,neutral,0.429,0.608,0.613,0.62,0.624
videos,all,@ActualJusticeWarrior,right,@MattWalsh,@SaltyCracker,@BlackConservativePerspective,@TheOfficerTatum,@BenShapiro,right,right,right,right,right,0.54,0.565,0.595,0.613,0.615
videos,all,@AfterPartyEmily,right,@NewsmaxTV,@clayandbuck,@MegynKelly,@BlazeTV,@bennyjohnson,right,right,right,right,right,0.526,0.526,0.527,0.529,0.538
videos,all,@AlexStein99,right,@jlptalk,@PragerU,@TheAdamCarollaShow1,@SaltyCracker,@MichaelKnowles,right,right,right,right,right,0.71,0.712,0.717,0.72,0.724
videos,all,@AndWeKnowOfficial-o9b,right,@PoliticsGirl,@X22Report-y5y,@JillianMichaels,https://rumble.com/c/BannonsWarRoom,@thomhartmann,left,right,right,right,left,0.706,0.708,0.712,0.712,0.718
videos,all,@AndrewKlavan,right,@BenShapiro,@PragerU,@morebridgetphetasy,@marklevinshow,@MichaelKnowles,right,right,right,right,right,0.596,0.624,0.629,0.631,0.635
videos,all,@AnthonyBrianLogan,right,@ABCNews,@NewsmaxTV,@NBCNews,@bennyjohnson,@clayandbuck,neutral,right,neutral,right,right,0.581,0.596,0.612,0.614,0.616
videos,all,@AsmonTV,right,@TimcastNews,@TimcastIRL,@LiberalHivemind,@TheQuartering,@HasanAbi,right,right,right,right,left,0.531,0.531,0.542,0.606,0.607
videos,all,@AssociatedPress,neutral,@nypost,@Reuters,@CBSNews,@BBCNews,@USATODAY,right,neutral,neutral,neutral,neutral,0.314,0.336,0.374,0.381,0.418
videos,all,@BBCNews,neutral,@SkyNews,@AssociatedPress,@Reuters,@aljazeeraenglish,@Firstpost,left,neutral,neutral,left,neutral,0.278,0.381,0.394,0.418,0.472
videos,all,@BadEmpanadaLive,left,@thegrayzone7996,@KimIversen,@BreakThroughNews,@franifio,@DueDissidence,left,neutral,left,left,left,0.615,0.616,0.624,0.629,0.631
videos,all,@BadFaithPodcast,left,@ColemanHughesOfficial,@BadEmpanadaLive,@DueDissidence,@nationalreview,@zeteo,right,left,left,right,left,0.665,0.674,0.679,0.701,0.704
videos,all,@BelleRanch,left,@msnow,@thomhartmann,@thehill,@CNN,@oann,left,left,neutral,left,right,0.682,0.684,0.706,0.716,0.716
videos,all,@BenShapiro,right,@NewsmaxTV,@MichaelKnowles,@FoxNewsChannelClips,@JillianMichaels,@clayandbuck,right,right,right,right,right,0.484,0.487,0.494,0.509,0.511
videos,all,@BlackConservativePerspective,right,@RubinReport,@TheOfficerTatum,@ActualJusticeWarrior,@bennyjohnson,@rolandsmartin,right,right,right,right,left,0.556,0.585,0.595,0.595,0.595
videos,all,@BlazeTV,right,@NewsmaxTV,@glennbeck,@RealAmericasVoice,@bennyjohnson,@FoxNewsChannelClips,right,right,right,right,right,0.397,0.45,0.464,0.479,0.48
videos,all,@BreakThroughNews,left,@aljazeeraenglish,@thegrayzone7996,@DropSiteNews,@JamarlThomas,@DemocracyNow,left,left,left,left,left,0.538,0.555,0.557,0.596,0.609
videos,all,@BrittanyVenti,neutral,@JustPearlyThings,@bbrettcooper,@The_Crucible,@ZubyMusic,@FreshFitMiami,right,right,right,right,right,0.624,0.651,0.682,0.707,0.731
videos,all,@CBSNews,neutral,@NewsNation,@USATODAY,@ABCNews,@CNN,@thehill,neutral,neutral,neutral,left,neutral,0.308,0.312,0.356,0.357,0.368
videos,all,@CNN,left,@CBSNews,@thehill,@msnow,@AssociatedPress,@FoxNews,neutral,neutral,left,neutral,right,0.357,0.414,0.419,0.434,0.435
videos,all,@CamHigby,right,@XAVIAER,@OfficialSaharTV,@SaltyCracker,@MichaelKnowles,@RealAmericasVoice,right,right,right,right,right,0.678,0.679,0.697,0.702,0.716
videos,all,@CashJordan,right,@DrSteveTurleyTV,@FoxNews,@RealAmericasVoice,@bennyjohnson,@glennbeck,right,right,right,right,right,0.644,0.689,0.713,0.716,0.72
videos,all,@ChadPrather1,right,@PragerU,@jlptalk,@turningpointusa,@theisabelbrown,@BlazeTV,right,right,right,right,right,0.607,0.667,0.675,0.679,0.68
videos,all,@ClipsCandaceOwens,neutral,@GrahamAllen,@thejimmydoreshow,@JacksonHinkleOfficial,@HasanAbi,@The_Crucible,right,neutral,neutral,left,right,0.655,0.656,0.689,0.693,0.693
videos,all,@ClubRandomPodcast,neutral,@TheAdamCarollaShow1,@bbrettcooper,@RubinReport,@AndrewKlavan,@AfterPartyEmily,right,right,right,right,right,0.803,0.814,0.821,0.84,0.841
videos,all,@ColemanHughesOfficial,right,@samharrisorg,@morebridgetphetasy,@PragerU,@BadEmpanadaLive,@marklevinshow,left,right,right,left,right,0.627,0.629,0.648,0.65,0.659
videos,all,@DailyDenims,left,@DestinyDGGClips,@destiny,@TheSerfTimes,@destinyhqclips,@TheMajorityReport,right,left,left,neutral,left,0.566,0.584,0.589,0.596,0.636
videos,all,@DannyHaiphongYT,left,@timesofindia,@JacksonHinkleOfficial,@aljazeeraenglish,@GeopoliticalEconomyReport,@JamarlThomas,left,neutral,left,left,left,0.552,0.66,0.66,0.68,0.685
videos,all,@DarkHorsePod,right,@ZubyMusic,@morebridgetphetasy,@PragerU,@FleccasTalks,@fightbackpodcast,right,right,right,right,right,0.641,0.644,0.668,0.682,0.684
videos,all,@DemocracyDocket,left,@katiephangnews,@LegalAFMTN,@RobertGouveiaEsq,@GlennKirschner2,@JesseKellyDC,left,left,right,left,right,0.57,0.598,0.601,0.603,0.618
videos,all,@DemocracyNow,left,@BreakThroughNews,@AssociatedPress,@aljazeeraenglish,@breakingpoints,@CBSNews,left,neutral,left,left,neutral,0.609,0.619,0.626,0.626,0.627
videos,all,@DestinyDGGClips,right,@hutch,@DailyDenims,@destinyhqclips,@destiny,@TheSerfTimes,neutral,left,neutral,left,left,0.559,0.566,0.57,0.6,0.639
videos,all,@DoubleDownNews,left,@OwenJonesTalks,https://rumble.com/c/GGreenwald,@zeteo,@usefulidiots,@thegrayzone7996,left,left,left,left,left,0.591,0.683,0.689,0.69,0.699
videos,all,@DrSteveTurleyTV,right,@glennbeck,@NewsmaxTV,@RealAmericasVoice,@bennyjohnson,@FoxNews,right,right,right,right,right,0.562,0.563,0.582,0.583,0.594
