organisation,genre,n_channels,channels,n_unique,F1_controlled,F1_raw,F2_controlled,F2_raw,F3_controlled,F3_raw,F4_controlled,F4_raw,F5_controlled,F5_raw,F6_controlled,F6_raw,F7_controlled,F7_raw,F8_controlled,F8_raw,F9_controlled,F9_raw,F10_controlled,F10_raw,F11_controlled,F11_raw,F12_controlled,F12_raw
ABC News,streams,1,@ABCNews,547,0.0702571500589692,0.9440950819571513,1.4493246757120146,0.849263048911242,2.374993677584097,3.983760947356262,-0.1231030953678517,-0.3894498872683126,-0.2914013690019343,-0.8221854723017029,0.1817805734562774,0.4013456440659593,-0.0722339907480679,-0.1484292385819751,0.0444157024096188,0.2775506871366106,0.8907291636661882,1.109484275770907,-0.736263764882003,-1.218409924482559,-0.8478235015824339,-1.5436360140641892,0.0087940129941037,0.0186244217339716
ABC News,videos,1,@ABCNews,7521,0.6692205744813778,0.8085501079050007,-0.026802859337988098,-0.1381828619305959,-0.730951323274914,-0.3261761494096131,-0.1841721682865209,-0.3561935945682522,0.0658708296332171,-0.175740111261148,-0.6284445701728856,-0.6907651679189355,1.281537391336614,1.7746823886390908,-0.0405113953876678,0.2620567661422512,-0.5100471288465415,-0.6402923498203538,0.122391685863063,0.2769111359250293,-0.0541379431920492,-0.0584375288564894,-0.1140767858087468,0.1114066622066054
ANI,streams,1,@ANINewsIndia,7202,0.0850274188278221,0.6436892035101937,0.0373444240573868,-0.0527468985489577,1.7184703031056037,3.0304996999199667,0.0226711326957583,-0.297833183484797,-0.3484487702042168,-0.9854236993103916,0.7551474858651404,1.71345530506958,0.2516442256937692,1.261883888923307,-0.0634704353008013,0.3729104375940147,-0.084835899847311,-0.4973295050163608,-0.5045441385701017,-0.1474942079099756,0.12341674063122458,1.0471605355249023,0.2739423560459083,0.692053998974542
ANI,videos,1,@ANINewsIndia,11623,0.3768842317038458,0.6702077588039672,0.6217094655812334,0.5992047971905209,-0.8840951861483292,0.0218540774653364,-0.0252678970163668,-0.2695900277188282,-0.1511472866039198,-0.6176830632531695,0.1526943286736854,0.7080255370798471,0.8996387137826318,1.8197890619710133,0.0835421056026681,0.4960065715428743,-0.0747544981804374,-0.4009261328765252,1.2254488939344084,1.7151765884073376,0.7686068545738451,1.5221942212243007,0.1597536768304202,0.8059584564111584
Aaron Parnas,streams,1,@aaronparnas1,10,-0.2624557798921362,0.0316303988568739,-0.8623753286153871,-0.9892102719699307,3.328529509848736,3.467441098646705,-0.0071332041163809,0.0025594224649784,-0.4097286623306487,-0.5049331625637555,-0.5200869163627324,-0.5770623558751607,-0.9587173044240489,-0.700008330498705,-1.1257673874756038,-0.7680490904617501,-0.1167725681492033,-0.1200858628098906,-0.9179337850228254,-0.8424755705604567,-1.8051385755399565,-1.569148360160957,-1.3963006841791394,-1.6174574675557625
Aaron Parnas,videos,1,@aaronparnas1,769,-1.2471112159457578,-1.8992188300455417,-0.2811118284529704,-0.2835354595994308,2.1892078616936024,2.2739741762263415,-0.4657976690318983,-0.4518286059214334,-0.3141341623796656,-0.6710043523720158,-0.2900133554138479,-0.2910462363486437,-0.1878572711731541,0.1141812407324625,-0.4080356175087574,-0.5148295662927795,-0.1962052418874522,0.0014614532938086,-0.5278762523292785,-0.487630061408481,0.9832617844496246,1.217480436052519,-0.3643778997120854,-0.3162642180486551
Actual Justice Warrior,videos,1,@ActualJusticeWarrior,368,-1.1484144855027305,-1.35191115652576,-1.18334102871173,-0.9800751106830308,-0.7123462164211218,-0.8671860182139461,-0.6812734599360136,-0.7228730452195633,-0.8130873625693873,-0.9102767402214839,-0.3629355825025378,-0.4000460549472506,-0.1877288935245365,-0.0038288084941624,-0.7410719174818168,-0.7859901374403107,-0.0641591119144631,-0.1661633295532292,-0.7819522274296362,-0.5268927008039324,-0.8463770226884545,-0.8542224278170741,-0.5437715169411108,-0.7795865762649347
Adam Carolla,videos,1,@TheAdamCarollaShow1,372,-0.1608273278927749,0.1252006270197749,-0.3414878632531887,-0.5041900052425944,-0.4756445879352128,-0.5481141107694895,-0.1985924160196918,-0.3102026487903728,-0.0779113234925753,-0.1955577351479441,1.1732930264931083,1.5223516615717203,-0.6385399195344167,-0.5745237660070864,-0.1763695273591773,-0.0268237072131472,-0.1634956965968429,-0.22292887755641028,-0.4490761487949529,-0.2129928449455713,0.2782714486983643,0.4455643208568984,-0.12537966809365,-0.4337100484348891
Adam Mockler,streams,1,@adammockler,2,1.4546638236461522,1.1309960834648427,0.3667891218762115,0.5875119179724508,1.220412671542061,1.232053833197838,-0.6560840678167138,-0.709414137673159,-0.6718060363382596,-0.7040156802248188,0.5831879687571839,0.9347646169025646,-0.166414426675996,0.0787081614656037,-0.8575228601937605,-0.8704210708637276,3.6227531223281386,3.722995416468562,-1.525567326446109,-0.8559173467614566,-0.6675482807033002,-0.5930787651549387,-2.1108414775840805,-1.482295710029805
Adam Mockler,videos,1,@adammockler,1055,-0.2974538192899947,-0.641333876673511,-0.2979744412647853,0.1549114218831245,-0.3211119262526889,-0.4303792616889847,0.9017760641129728,1.3351945162681549,-0.506452084081991,-0.7682146107196534,-0.2714801223241859,-0.48598189524517793,0.0056890525120426,0.0044975969207368,-0.3660842114899166,-0.7883883526432313,0.7380091889426736,1.3298639420636489,-0.6788604499958489,-0.9913509429716139,-0.4047393246748718,-0.719159264791975,-0.5647206464122766,-0.9257892643958736
