lane,genre,n_creators,mean,ci95_low,ci95_high,median,q25,q75,min,max
left_commentary,streams,18,0.7707408536042978,0.6912308900044914,0.8434470610960033,0.8019707775553092,0.6489179104477611,0.9033388807988351,0.4428571428571428,0.9911894273127754
legal_institutional,streams,3,0.6400052777411268,0.3773584905660377,0.9272727272727272,0.6153846153846154,0.49637155297532654,0.7713286713286713,0.3773584905660377,0.9272727272727272
independent_digital_news,streams,6,0.6341267174108307,0.4906251240817947,0.7693878866691471,0.654251012145749,0.5534426820475847,0.7854728074473298,0.3043478260869565,0.8428571428571429
right_commentary,streams,19,0.622119668020922,0.5326029798536323,0.7118650549310571,0.624,0.484375,0.7824919441460795,0.208955223880597,0.9506172839506172
streamer_reaction,streams,6,0.5779844730610795,0.3195617484077165,0.8175025385965813,0.6329126213592233,0.28891304347826086,0.8750674217907227,0.128440366972477,0.943609022556391
interview_podcast,streams,2,0.5400445006444082,0.4275466284074605,0.652542372881356,0.5400445006444082,0.48379556452593436,0.596293436762882,0.4275466284074605,0.652542372881356
humour_satire,streams,1,0.4193548387096774,0.4193548387096774,0.4193548387096774,0.4193548387096774,0.4193548387096774,0.4193548387096774,0.4193548387096774,0.4193548387096774
centrist_heterodox,streams,2,0.40482456140350875,0.2,0.6096491228070176,0.40482456140350875,0.3024122807017544,0.5072368421052632,0.2,0.6096491228070176
right_tv_network,streams,4,0.39087325870290063,0.12824464867045024,0.6535018687353511,0.36400467187385943,0.16120970297600182,0.5936682276007582,0.0623145400593471,0.7731691510045366
wire_international,streams,7,0.3647804003953466,0.18932423677603438,0.5394695209878302,0.2591463414634146,0.1747863139597972,0.5559980873906782,0.0911354581673306,0.7416122004357298
us_legacy_tv,streams,7,0.12051032559616627,0.07563613981993188,0.16438526366208392,0.1413043478260869,0.067976920302921,0.16798267957208352,0.0272479564032697,0.2031007751937984
us_press_print_digital,streams,4,0.09041791319419709,0.05694019042191985,0.11653177458033573,0.09556354916067145,0.07973146235486855,0.10625000000000001,0.0455445544554455,0.125
left_commentary,videos,40,0.7605089051989697,0.7011666966484674,0.8179416193102249,0.7977879737576801,0.663096805073591,0.9148393716816138,0.1995133819951338,0.9865689865689866
legal_institutional,videos,8,0.7582077316845934,0.6332276258781389,0.8628446647544527,0.8171971240544276,0.7006613756613757,0.8504961134292532,0.4,0.961206896551724
streamer_reaction,videos,23,0.6485088827093464,0.5748351822965507,0.7100659788007846,0.6837209302325581,0.5956268810924936,0.7155559692231324,0.0607734806629834,0.9433962264150944
right_commentary,videos,69,0.6338661454486295,0.583997336568695,0.6814492370096439,0.6133333333333333,0.5106382978723404,0.7945945945945946,0.0710382513661202,0.992918961447679
independent_digital_news,videos,19,0.611013070729173,0.5300407332670375,0.6865458976555495,0.6074380165289256,0.4904346694429984,0.7640555303771199,0.3037974683544304,0.8955512572533849
centrist_heterodox,videos,10,0.5391553709994344,0.42001229778554083,0.6642599803921174,0.5336267464536639,0.4461161955514365,0.667438505921652,0.1857142857142857,0.8650519031141869
humour_satire,videos,6,0.4511995426635457,0.3539235838150911,0.5536206505615187,0.4640048396854204,0.3364681295715778,0.568238489625078,0.2794117647058823,0.6028368794326241
wire_international,videos,11,0.43303931653672395,0.33411321330446997,0.5609913322101241,0.3544285714285714,0.31045680268038767,0.4185956942524195,0.2527241208519069,0.9000604473100947
right_tv_network,videos,4,0.4163882393681175,0.22691399099589366,0.6073411190515693,0.4376949787316383,0.3294590316951422,0.5246241864046137,0.1414634146341463,0.6486995853750471
interview_podcast,videos,19,0.41436996223612554,0.322872648864654,0.508734180183313,0.4177215189873418,0.23418803418803416,0.5430334631377467,0.0496453900709219,0.8548387096774194
us_legacy_tv,videos,9,0.3311596988689161,0.23628939228388535,0.4249521317471252,0.2830982094411285,0.2201731275875047,0.4384133611691023,0.1169230769230769,0.5504263093788063
us_press_print_digital,videos,18,0.28056404772869775,0.19736971189659744,0.3701908239724934,0.22490048651039357,0.12520855057351404,0.33757170052350777,0.065359477124183,0.8105590062111802
explainer_geopolitics,videos,3,0.26191758130285214,0.1132075471698113,0.3456221198156682,0.3269230769230769,0.2200653120464441,0.33627259836937257,0.1132075471698113,0.3456221198156682
