template,n_creators,n_titles,example,creators,groups,n_groups,n_organisations,within_group
<ENT> 's <ENT>,61,142,Iran's Plan To Make You SIMP,@60minutes; @ANINewsIndia; @BadEmpanadaLive; @BenShapiro; @ClipsCandaceOwens; @DailyDenims; @DemocracyDocket; @DueDissidence; @FarronBalanced; @FleccasTalks; @GlennKirschner2; @GrahamAllen,left; neutral; right,3,55,False
<ENT> after <ENT>,35,67,Trump’s Envoys Get RUDE AWAKENING After Putin Meeting,@AfterPartyEmily; @BlackConservativePerspective; @DylanBurnsLIVE; @FarronBalanced; @FreshFitMiami; @HasanReactionsfanTwo; @JackCocchiarellaShow; @LegalAFMTN; @MeidasTouch; @MichaelKnowles; @OwenJonesTalks; @PTLRadioShow,left; neutral; right,3,32,False
<ENT> 's <ENT> <ENT>,23,39,California's Election Shakeup + Microsoft's AI Spy Badge | PBD #811,@ANINewsIndia; @ActualJusticeWarrior; @BlazeTV; @DannyHaiphongYT; @Firstpost; @GlennKirschner2; @JamarlThomas; @PBDPodcast; @TheDonLemonShow; @TheMajorityReport; @TheMichaelCohenShow; @TheVaushPit,left; neutral; right,3,23,False
<ENT> ’s <ENT>,17,27,"AIPAC’s ""Elect Chicago Women"" Super PAC Exposed",@DropSiteNews; @OwenJonesTalks; @PTLRadioShow; @TheMajorityReport; @ThePodcastoftheLotusEaters; @TheYoungTurks; @TimDillonShow; @TimesNowWorld; @ZeihanonGeopolitics; @aljazeeraenglish; @axios; @clayandbuck,left; neutral; right,3,17,False
<ENT> exposes <ENT>,14,19,Elizabeth Warren Exposes Trump’s Fed Pick In Brutal Hearing,@JackCocchiarellaShow; @JillianMichaels; @PTLRadioShow; @RealAmericasVoice; @RobertGouveiaEsq; @SabbySabs; @TheDamageReport; @TheMajorityReport; @TheYoungTurks; @adammockler; @chicksonright; @fightbackpodcast,left; right,2,13,False
<ENT> <ENT> 's <ENT>,13,19,US Media's Hasan Piker Derangement Syndrome Is Ridiculous,@CBSNews; @DemocracyDocket; @JamarlThomas; @TheDonLemonShow; @TheMajorityReport; @TheYoungTurks; @TimesNowWorld; @ZeihanonGeopolitics; @jimacosta; @judgingfreedom; @markets; @thomhartmann,left; neutral; right,3,13,False
<ENT> <ENT> after <ENT>,12,13,OMG: Trump RUSHES OFF after Going to HOSPITAL!,@BlazeTV; @DueDissidence; @DylanBurnsLIVE; @Firstpost; @Forbes; @JesseKellyDC; @LukeBeasley; @RubinReport; @TheYoungTurks; @markets; @nypost; @timesofindia,left; neutral; right,3,12,False
<ENT> after <ENT> <ENT>,11,16,Hakeem Jeffries In Full Panic Mode After Kushner Meeting Pisses Off Democrats,@FarronBalanced; @Firstpost; @RealAmericasVoice; @RebelHQ; @Reuters; @TheMajorityReport; @adammockler; @dollemore; @katiephangnews; @markets; @nypost,left; neutral; right,3,11,False
<ENT> <ENT> w/ <ENT>,10,20,"""It Went Completely Viral"" Brett Cooper Talks Internet Drama & Pendragon Cycle W/ Michael Knowles",@BadFaithPodcast; @BreakThroughNews; @MichaelKnowles; @TheMajorityReport; @TimcastIRL; @bulwarkmedia; @dollemore; @fastpoliticspodcast; @thegrayzone7996; @thejimmydoreshow,left; neutral; right,3,10,False
<ENT> says <ENT>,10,16,Fox News Lunatic Says Americans Have Data Center Derangement Syndrome,@Firstpost; @JackCocchiarellaShow; @MrTariqNasheed; @Politicon; @TheAmalaEkpunobi; @TheMajorityReport; @TheYoungTurks; @dollemore; @markets; @nypost,left; neutral; right,3,10,False
