title_key_raw,n_creators,n_organisations,n_titles,example,creators,groups,n_groups,within_group,same_organisation_only
this is insane,12,11,14,THIS IS INSANE..,@AsmonTV; @BenShapiro; @JackCocchiarellaShow; @JacksonHinkleOfficial; @LukeBeasley; @RedactedNews; @TheMajorityReport; @TheQuartering; @TimcastIRL; @TimcastNews; @Vaush; https://rumble.com/c/russellbrand,left; neutral; right,3,False,False
it happened again,7,7,10,IT HAPPENED AGAIN??,@HasanAbi; @JackCocchiarellaShow; @LiberalHivemind; @RebelNewsOnline; @TheQuartering; @TimcastNews; @adammockler,left; right,2,False,False
this changes everything,7,7,7,This changes everything..,@AsmonTV; @CashJordan; @DestinyDGGClips; @DoubleDownNews; @TheQuartering; @TimcastIRL; https://rumble.com/c/russellbrand,left; right,2,False,False
it s happening,6,6,10,IT'S HAPPENING,@JacksonHinkleOfficial; @LiberalHivemind; @RebelNewsOnline; @TimcastIRL; @Vaush; @adammockler,left; neutral; right,3,False,False
this is disgusting,6,6,6,This Is Disgusting,@AsmonTV; @HasanAbi; @LukeBeasley; @TheMajorityReport; @TheQuartering; @TimcastIRL,left; right,2,False,False
it s over,5,5,9,it’s over.,@AsmonTV; @HasanAbi; @JacksonHinkleOfficial; @bennyjohnson; @destiny,left; neutral; right,3,False,False
it s finally happening,5,5,6,It’s finally happening..,@AsmonTV; @JackCocchiarellaShow; @RebelNewsOnline; @TimcastIRL; @bennyjohnson,left; right,2,False,False
don lemon arrested,5,5,5,Don Lemon ARRESTED!,@BenShapiro; @GlennKirschner2; @TheYoungTurks; @TimcastNews; @marclamonthillnetwork,left; right,2,False,False
this is terrifying,5,5,5,This is terrifying...,@HasanAbi; @TheMajorityReport; @TheQuartering; @TheVaushPit; @TimcastNews,left; right,2,False,False
oh my god,4,4,8,Oh.. my.. GOD...,@AsmonTV; @HasanAbi; @JackCocchiarellaShow; @TheQuartering,left; right,2,False,False
it finally happened,4,4,6,It finally happened,@HasanAbi; @JackCocchiarellaShow; @LukeBeasley; @adammockler,left,1,True,False
