creator,rank,word,z,log_odds,count_creator,count_rest,n_titles_creator,group
@60minutes,1,minutes,62.78,5.906,152,439,301,neutral
@60minutes,2,episodes,33.3,7.219,50,37,301,neutral
@60minutes,3,sunday,28.62,4.56,43,454,301,neutral
@60minutes,4,laden,12.4,6.292,6,11,301,neutral
@60minutes,5,sasse,10.91,6.898,5,5,301,neutral
@60minutes,6,extended,10.35,4.012,7,126,301,neutral
@60minutes,7,bin,10.35,4.389,6,74,301,neutral
@60minutes,8,method,10.11,6.338,4,7,301,neutral
@60minutes,9,alysa,9.76,5.394,4,18,301,neutral
@60minutes,10,stories,9.71,3.476,8,247,301,neutral
@ABCNews,1,abc,55.4,6.101,957,90,8068,neutral
@ABCNews,2,broadcast,51.54,5.795,700,89,8068,neutral
@ABCNews,3,good,48.94,2.833,420,1029,8068,neutral
@ABCNews,4,know,43.42,2.568,375,1196,8068,neutral
@ABCNews,5,need,42.61,2.725,334,910,8068,neutral
@ABCNews,6,morning,40.36,2.235,399,1778,8068,neutral
@ABCNews,7,david,39.82,2.919,269,603,8068,neutral
@ABCNews,8,tonight,34.79,2.475,254,888,8068,neutral
@ABCNews,9,start,30.35,2.845,161,388,8068,neutral
@ABCNews,10,prime,25.44,2.021,187,1028,8068,neutral
@ANINewsIndia,1,pm,86.44,2.518,2623,2138,18825,neutral
@ANINewsIndia,2,india,78.93,2.307,2334,2345,18825,neutral
@ANINewsIndia,3,modi,78.53,3.069,2051,961,18825,neutral
@ANINewsIndia,4,delhi,52.6,3.557,982,281,18825,neutral
@ANINewsIndia,5,holds,50.78,2.08,1071,1343,18825,neutral
@ANINewsIndia,6,conference,48.49,2.06,987,1262,18825,neutral
@ANINewsIndia,7,minister,47.09,2.091,916,1135,18825,neutral
@ANINewsIndia,8,bjp,42.24,5.717,1701,56,18825,neutral
@ANINewsIndia,9,bengal,39.62,4.659,833,79,18825,neutral
@ANINewsIndia,10,protest,38.82,1.76,768,1324,18825,neutral
@ActualJusticeWarrior,1,leftist,17.63,4.182,19,260,368,right
@ActualJusticeWarrior,2,entitled,16.49,6.246,11,19,368,right
@ActualJusticeWarrior,3,mamdani,16.28,2.8,34,1882,368,right
@ActualJusticeWarrior,4,black,15.64,2.685,34,2113,368,right
@ActualJusticeWarrior,5,mafia,14.68,5.018,10,59,368,right
@ActualJusticeWarrior,6,leftists,14.54,4.168,13,180,368,right
@ActualJusticeWarrior,7,hoax,13.7,4.553,10,94,368,right
@ActualJusticeWarrior,8,seattle,13.54,4.23,11,143,368,right
@ActualJusticeWarrior,9,destroys,13.32,3.167,18,683,368,right
@ActualJusticeWarrior,10,lego,12.93,4.902,8,53,368,right
@AfterPartyEmily,1,plus,20.88,3.946,31,285,464,right
@AfterPartyEmily,2,truth,20.5,2.802,55,1601,464,right
@AfterPartyEmily,3,media,16.27,2.312,50,2383,464,right
@AfterPartyEmily,4,malice,16.11,5.545,13,24,464,right
@AfterPartyEmily,5,culture,14.41,3.307,20,348,464,right
@AfterPartyEmily,6,hemingway,13.88,6.062,10,11,464,right
@AfterPartyEmily,7,greenwald,13.48,4.398,11,64,464,right
@AfterPartyEmily,8,ryan,12.8,3.283,16,285,464,right
@AfterPartyEmily,9,really,12.68,2.458,27,1105,464,right
@AfterPartyEmily,10,bevan,12.57,7.256,12,4,464,right
@AlexStein99,1,stein,28.2,5.534,29,244,123,right
@AlexStein99,2,alex,23.57,4.081,34,1237,123,right
@AlexStein99,3,dallas,12.11,4.686,7,135,123,right
@AlexStein99,4,prime,10.67,3.06,12,1203,123,right
@AlexStein99,5,night,9.9,3.503,8,509,123,right
@AlexStein99,6,time,9.38,2.673,12,1790,123,right
@AlexStein99,7,booty,8.81,8.042,3,2,123,right
@AlexStein99,8,boy,7.55,3.793,4,189,123,right
@AlexStein99,9,crashes,7.27,2.942,6,675,123,right
@AlexStein99,10,protest,6.21,2.136,8,2084,123,right
@AnaEscobarShow,1,charlie,19.14,3.842,25,1312,63,right
@AnaEscobarShow,2,kirk,15.24,3.396,20,1640,63,right
@AnaEscobarShow,3,candace,14.14,3.791,14,764,63,right
@AnaEscobarShow,4,owens,12.57,3.803,11,591,63,right
@AnaEscobarShow,5,tpusa,12.21,4.373,8,241,63,right
@AnaEscobarShow,6,intel,12.04,4.042,9,379,63,right
@AnaEscobarShow,7,banana,11.56,6.67,4,12,63,right
@AnaEscobarShow,8,fort,10.21,4.656,5,113,63,right
@AnaEscobarShow,9,brief,9.98,3.784,7,382,63,right
@AnaEscobarShow,10,file,9.94,4.517,5,130,63,right
@AndWeKnowOfficial-o9b,1,pray,46.53,8.27,151,40,184,right
@AndWeKnowOfficial-o9b,2,silver,19.79,5.003,18,118,184,right
@AndWeKnowOfficial-o9b,3,comms,18.99,7.089,16,13,184,right
@AndWeKnowOfficial-o9b,4,msm,13.32,5.933,7,18,184,right
@AndWeKnowOfficial-o9b,5,gold,12.89,3.25,16,609,184,right
@AndWeKnowOfficial-o9b,6,precious,12.0,5.451,6,25,184,right
@AndWeKnowOfficial-o9b,7,potus,11.81,4.042,9,154,184,right
@AndWeKnowOfficial-o9b,8,metals,11.66,5.173,6,33,184,right
@AndWeKnowOfficial-o9b,9,pain,10.3,3.991,7,126,184,right
@AndWeKnowOfficial-o9b,10,patriots,10.21,3.952,7,131,184,right
@AndrewKlavan,1,klavan,20.95,7.56,17,14,185,right
@AndrewKlavan,2,greatest,12.89,4.397,9,175,185,right
@AndrewKlavan,3,ranks,12.24,5.301,6,47,185,right
@AndrewKlavan,4,ranked,10.9,6.546,4,9,185,right
@AndrewKlavan,5,tiktoks,10.5,5.748,4,20,185,right
@AndrewKlavan,6,culture,10.02,3.563,8,360,185,right
@AndrewKlavan,7,andrew,9.76,2.932,11,940,185,right
@AndrewKlavan,8,movies,9.62,5.031,4,41,185,right
@AndrewKlavan,9,conservatives,9.52,3.936,6,185,185,right
@AndrewKlavan,10,reason,9.14,3.236,8,501,185,right
@AnthonyBrianLogan,1,instagram,19.17,5.026,17,100,281,right
@AnthonyBrianLogan,2,ask,17.52,4.439,17,180,281,right
@AnthonyBrianLogan,3,spencer,9.21,3.094,9,367,281,right
@AnthonyBrianLogan,4,mayor,9.21,2.456,14,1092,281,right
@AnthonyBrianLogan,5,pratt,9.15,3.07,9,376,281,right
@AnthonyBrianLogan,6,chud,8.77,4.035,5,79,281,right
@AnthonyBrianLogan,7,builder,8.46,4.419,4,43,281,right
@AnthonyBrianLogan,8,tsa,8.3,2.951,8,377,281,right
@AnthonyBrianLogan,9,nyc,8.14,2.244,13,1258,281,right
@AnthonyBrianLogan,10,waymo,7.7,4.713,3,24,281,right
@AsmonTV,1,ck,33.72,5.767,47,125,825,right
@AsmonTV,2,game,31.7,4.294,59,689,825,right
@AsmonTV,3,i've,24.31,4.965,28,165,825,right
@AsmonTV,4,happening,20.56,3.848,30,542,825,right
@AsmonTV,5,genuinely,20.06,6.476,17,22,825,right
@AsmonTV,6,tried,19.26,4.056,24,351,825,right
@AsmonTV,7,cked,18.62,5.076,16,84,825,right
@AsmonTV,8,got,16.67,3.068,30,1188,825,right
@AsmonTV,9,desert,16.3,5.797,11,28,825,right
@AsmonTV,10,actually,15.8,3.419,22,610,825,right
@AssociatedPress,1,says,36.0,1.295,832,10334,6360,neutral
@AssociatedPress,2,ap,29.24,4.914,143,47,6360,neutral
@AssociatedPress,3,xiv,27.52,4.211,107,71,6360,neutral
@AssociatedPress,4,shows,27.01,2.064,201,1145,6360,neutral
@AssociatedPress,5,leo,22.38,2.389,109,448,6360,neutral
@AssociatedPress,6,scene,21.17,2.864,76,194,6360,neutral
@AssociatedPress,7,residents,20.39,2.332,94,409,6360,neutral
@AssociatedPress,8,pope,19.94,2.027,113,667,6360,neutral
@AssociatedPress,9,killed,17.8,1.355,187,2167,6360,neutral
@AssociatedPress,10,lebanon,17.15,1.454,152,1594,6360,neutral
@BBCNews,1,global,51.03,3.081,319,1938,2352,neutral
