genre,titles,creator,group,style_cluster,style_cluster_k_groups
videos,all,@60minutes,neutral,4,2
videos,all,@ABCNews,neutral,5,1
videos,all,@ANINewsIndia,neutral,5,1
videos,all,@ActualJusticeWarrior,right,1,0
videos,all,@AfterPartyEmily,right,7,2
videos,all,@AlexStein99,right,3,1
videos,all,@AndWeKnowOfficial-o9b,right,1,0
videos,all,@AndrewKlavan,right,2,1
videos,all,@AnthonyBrianLogan,right,0,0
videos,all,@AsmonTV,right,3,1
videos,all,@AssociatedPress,neutral,5,1
videos,all,@BBCNews,neutral,5,1
videos,all,@BadEmpanadaLive,left,0,0
videos,all,@BadFaithPodcast,left,7,2
videos,all,@BelleRanch,left,9,1
videos,all,@BenShapiro,right,3,1
videos,all,@BlackConservativePerspective,right,1,0
videos,all,@BlazeTV,right,7,2
videos,all,@BreakThroughNews,left,3,1
videos,all,@BrittanyVenti,neutral,0,0
videos,all,@CBSNews,neutral,5,1
videos,all,@CNN,left,5,1
videos,all,@CamHigby,right,3,1
videos,all,@CashJordan,right,8,2
videos,all,@ChadPrather1,right,3,1
videos,all,@ClipsCandaceOwens,neutral,3,1
videos,all,@ClubRandomPodcast,neutral,0,0
videos,all,@ColemanHughesOfficial,right,2,1
videos,all,@DailyDenims,left,5,1
videos,all,@DannyHaiphongYT,left,7,2
videos,all,@DarkHorsePod,right,0,0
videos,all,@DemocracyDocket,left,3,1
videos,all,@DemocracyNow,left,7,2
videos,all,@DestinyDGGClips,right,3,1
videos,all,@DoubleDownNews,left,1,0
videos,all,@DrSteveTurleyTV,right,1,0
videos,all,@DropSiteNews,left,0,0
videos,all,@DueDissidence,left,1,0
videos,all,@DylanBurnsLIVE,left,0,0
videos,all,@EzraKleinShow,left,2,1
videos,all,@FarronBalanced,left,0,0
videos,all,@Firstpost,neutral,4,2
videos,all,@FleccasTalks,right,1,0
videos,all,@Forbes,neutral,4,2
videos,all,@Forthepeoplepodcast305,left,0,0
videos,all,@FoxNews,right,5,1
videos,all,@FoxNewsChannelClips,right,5,1
videos,all,@FreshFitMiami,right,3,1
videos,all,@GeopoliticalEconomyReport,left,2,1
videos,all,@GlennKirschner2,left,0,0
