left_creator,right_creator,distance,distance_percentile_all_pairs
@FarronBalanced,@JesseKellyDC,0.8202761621041607,0.003968253968253968
@FarronBalanced,@SaltyCracker,0.8448581536811618,0.007936507936507936
@Forthepeoplepodcast305,@chicksonright,0.9265069373140629,0.011904761904761904
@PTLRadioShow,@chicksonright,0.9546103508148954,0.015873015873015872
@DropSiteNews,@MichaelKnowles,0.9998918888032322,0.01984126984126984
@RebelHQ,@chicksonright,1.016578476643873,0.023809523809523808
@JackCocchiarellaShow,@SaltyCracker,1.112015596702685,0.03968253968253968
@thomhartmann,@MrTariqNasheed,1.1709533539995491,0.06349206349206349
@Xanderhal,@CamHigby,1.1886881143206156,0.06746031746031747
@OwenReport,@JesseKellyDC,1.2026400156563597,0.07142857142857142
@thomhartmann,@ZubyMusic,1.2759872142100073,0.13095238095238096
@TheMajorityReport,@JesseKellyDC,1.2768776034805902,0.13492063492063494
@LeejaMiller,@theisabelbrown,1.278231885417551,0.1388888888888889
@SMN,@JillianMichaels,1.2914845201681795,0.14285714285714285
@NovaraMedia,@JesseKellyDC,1.3027309140745835,0.1626984126984127
@Xanderhal,@RileyGaines,1.310146451923678,0.16666666666666669
@Forthepeoplepodcast305,@GrahamAllen,1.346053661842884,0.19444444444444445
@PTLRadioShow,@SaltyCracker,1.364762873473862,0.2222222222222222
@OwenReport,@SaltyCracker,1.370742527322958,0.2341269841269841
@destiny,@AlexStein99,1.3781239645035361,0.25396825396825395
@TheYoungTurks,@JesseKellyDC,1.4077545571602696,0.2777777777777778
@FarronBalanced,@chicksonright,1.4255505816413387,0.30952380952380953
@TheMajorityReport,@SaltyCracker,1.4285831847892156,0.3134920634920635
@Forthepeoplepodcast305,@SaltyCracker,1.4294717600529239,0.31746031746031744
@thomhartmann,@morebridgetphetasy,1.4505479076151582,0.3373015873015873
@TheDonLemonShow,@fightbackpodcast,1.4618317787646786,0.3412698412698413
@franifio,@ThePodcastoftheLotusEaters,1.4671961219111702,0.35317460317460314
@judgingfreedom,@fightbackpodcast,1.4755388021021885,0.376984126984127
@franifio,@BenShapiro,1.4776662433138568,0.38095238095238093
@LegalAFMTN,@TheOfficerTatum,1.4880638449475612,0.3928571428571429
@destiny,@JesseKellyDC,1.4948112079229816,0.41269841269841273
@TheDonLemonShow,@clayandbuck,1.5058533746495746,0.4285714285714286
@thomhartmann,@theisabelbrown,1.5072592055143736,0.44047619047619047
@BadEmpanadaLive,@AlexStein99,1.5090648283078545,0.4444444444444444
@NovaraMedia,@SaltyCracker,1.5112477347633873,0.44841269841269843
@DropSiteNews,@nypost,1.5228157560272793,0.4642857142857143
@Forthepeoplepodcast305,@AnthonyBrianLogan,1.5239602797852183,0.4682539682539682
@JackCocchiarellaShow,@chicksonright,1.532274577485784,0.4880952380952381
@GlennKirschner2,@JesseKellyDC,1.5573404012461434,0.5317460317460317
@judgingfreedom,@MrTariqNasheed,1.5583047977530107,0.5357142857142857
@GlennKirschner2,@nypost,1.561972128801363,0.5396825396825398
@franifio,@StevenCrowder,1.5690461768452681,0.5515873015873016
@FarronBalanced,@GrahamAllen,1.5699515693803392,0.5555555555555556
@BadEmpanadaLive,@BenShapiro,1.5746060433766784,0.5634920634920635
@NovaraMedia,@fightbackpodcast,1.5776709889359781,0.5793650793650793
@thomhartmann,@AndrewKlavan,1.5797058937641915,0.5833333333333334
@PTLRadioShow,@MyronGainesX,1.5824223013982648,0.5952380952380952
@nousnetwork,@AndrewKlavan,1.5880963199976237,0.6150793650793651
@Politicon,@AndrewKlavan,1.5887161063442095,0.623015873015873
@franifio,@Styxhexenhammer666,1.5901349510504763,0.626984126984127
@NovaraMedia,@chicksonright,1.5917454119537942,0.638888888888889
@TheMajorityReport,@AlexStein99,1.5963426580631306,0.6428571428571428
@DylanBurnsLIVE,@Styxhexenhammer666,1.5984465985728447,0.6547619047619048
@podsaveamerica,@fightbackpodcast,1.5996430040402572,0.6587301587301587
@rolandsmartin,@MLChristiansen,1.60202845893595,0.6626984126984127
@Xanderhal,@SaltyCracker,1.605586884075705,0.6785714285714286
@dollemore,@RealAmericasVoice,1.6056723922922744,0.6825396825396826
@NovaraMedia,@MichaelKnowles,1.610409274446498,0.6904761904761905
@chriscuomo,@MrTariqNasheed,1.613651318339796,0.7023809523809524
@destiny,@SaltyCracker,1.6153253349748191,0.7063492063492063
@EzraKleinShow,@theisabelbrown,1.6160547370784084,0.7142857142857143
@GlennKirschner2,@GrahamAllen,1.6192596524020753,0.7182539682539683
@destiny,@JustPearlyThings,1.6210575855177938,0.7301587301587302
@TheMichaelCohenShow,@chicksonright,1.6327606334584182,0.7658730158730159
@thomhartmann,@BenShapiro,1.639139131511312,0.7738095238095238
https://rumble.com/c/GGreenwald,@clayandbuck,1.6416487437319878,0.7777777777777778
@SMN,@JustPearlyThings,1.643560592728815,0.7857142857142858
@BadEmpanadaLive,@JesseKellyDC,1.6542591247321188,0.7976190476190477
@destiny,@Styxhexenhammer666,1.6544478156876339,0.8015873015873016
@therationalnational,@marklevinshow,1.658867294886967,0.8095238095238094
@thomhartmann,@bbrettcooper,1.663180713392093,0.8253968253968255
@LegalEagle,@JesseKellyDC,1.6640415866794116,0.8293650793650794
@Forthepeoplepodcast305,@XAVIAER,1.6648886345974263,0.8333333333333334
@Vaush,@JustPearlyThings,1.6651342984115576,0.8373015873015872
@LeejaMiller,@BenShapiro,1.6724918279575631,0.8690476190476191
@PTLRadioShow,@RubinReport,1.677140506484649,0.8809523809523809
@Forthepeoplepodcast305,@MyronGainesX,1.6814177712120075,0.8928571428571428
@TheMichaelCohenShow,@CamHigby,1.6817216676083286,0.8968253968253969
@TheJoyReidShow,@Styxhexenhammer666,1.6842321261844615,0.9047619047619048
@OwenReport,@GrahamAllen,1.6936931212724957,0.9206349206349206
@TheMichaelCohenShow,@GrahamAllen,1.6948557583169443,0.9246031746031746
@TheJoyReidShow,@clayandbuck,1.6982513761377742,0.9484126984126984
@samharrisorg,@theisabelbrown,1.699045256333088,0.9563492063492064
@PTLRadioShow,@GrahamAllen,1.7009453508109023,0.9603174603174603
@TheYoungTurks,@chicksonright,1.702948781090958,0.9761904761904762
@NovaraMedia,@AlexStein99,1.708111979300714,0.992063492063492
@PTLRadioShow,@fightbackpodcast,1.7081391365666834,0.996031746031746
@destiny,@GrahamAllen,1.7093351241676997,1.007936507936508
@OwenReport,@Styxhexenhammer666,1.7119694798426723,1.0119047619047619
@LegalEagle,@AlexStein99,1.7130376269256178,1.0198412698412698
@Xanderhal,@TheAmalaEkpunobi,1.7139107724014127,1.0317460317460316
@Forthepeoplepodcast305,@JesseKellyDC,1.7185585528505647,1.0396825396825398
@DemocracyDocket,@clayandbuck,1.7186137511600177,1.0436507936507937
@LeejaMiller,@StevenCrowder,1.7188988628889583,1.0476190476190477
@NovaraMedia,@BenShapiro,1.7218271134755898,1.0674603174603174
@Politicon,@RufoandLomez,1.7255217202355109,1.0793650793650795
@TheYoungTurks,@fightbackpodcast,1.7265367907569726,1.0833333333333335
@TheYoungTurks,@MichaelKnowles,1.7304793960103044,1.0992063492063493
@TheHumanistReport,@ChadPrather1,1.7347206217908582,1.107142857142857
@TheJoyReidShow,@MichaelKnowles,1.7352497049944977,1.1111111111111112
@DylanBurnsLIVE,@PartOfTheProblem,1.738848213155455,1.123015873015873
@DropSiteNews,@winston_marshall,1.7464290186020193,1.1468253968253967
@thomhartmann,@RileyGaines,1.749215788942237,1.1547619047619049
@TheMichaelCohenShow,@fightbackpodcast,1.7550520632832527,1.1746031746031746
@TheMajorityReport,@Styxhexenhammer666,1.7553532335921713,1.1785714285714286
@TheMichaelCohenShow,@SaltyCracker,1.7573130630631757,1.1865079365079365
@franifio,@AlexStein99,1.7609873052377827,1.1984126984126984
@TheJoyReidShow,@DarkHorsePod,1.7613348875037018,1.2023809523809523
@Xanderhal,@AlexStein99,1.7616457581351554,1.2103174603174605
@PTLRadioShow,@XAVIAER,1.7636525700769825,1.2222222222222223
@destiny,@BenShapiro,1.7643970865501972,1.234126984126984
@TheAtlantic,@theisabelbrown,1.7648173487009935,1.242063492063492
@SMN,@RileyGaines,1.7652970024893557,1.25
@TheYoungTurks,@AlexStein99,1.772598366513445,1.257936507936508
@thomhartmann,@StevenCrowder,1.7753284500756237,1.2658730158730158
@RebelHQ,@SaltyCracker,1.7762729506684092,1.2698412698412698
@SMN,@BenShapiro,1.7775426728224661,1.2817460317460319
@TheJoyReidShow,@XAVIAER,1.7779868246181116,1.2857142857142856
@DropSiteNews,@fightbackpodcast,1.778594612139611,1.2936507936507937
@TheDonLemonShow,@BenShapiro,1.7788126985814738,1.3015873015873016
@DropSiteNews,@DarkHorsePod,1.7792706450366103,1.3055555555555556
@samharrisorg,@AndrewKlavan,1.7821400352334749,1.3253968253968254
@BadEmpanadaLive,@Styxhexenhammer666,1.7834635372912715,1.3333333333333335
@UnHerd,@bbrettcooper,1.7841531148693746,1.3373015873015874
https://rumble.com/c/GGreenwald,@RubinReport,1.7847370476205904,1.3412698412698412
@therationalnational,@winston_marshall,1.787171393025431,1.3531746031746033
