creator,group,twin_across_divide,twin_distance,twin_rank_among_all_neighbours,nearest_same_group,nearest_same_group_distance,twin_closer_than_any_same_group
@SaltyCracker,right,@FarronBalanced,0.9110655461241501,1,@chicksonright,1.170651881478553,True
@FarronBalanced,left,@SaltyCracker,0.9110655461241501,1,@JackCocchiarellaShow,1.169565975833171,True
@chicksonright,right,@PTLRadioShow,0.9198055298089393,1,@SaltyCracker,1.170651881478553,True
@PTLRadioShow,left,@chicksonright,0.9198055298089393,1,@Forthepeoplepodcast305,1.2830816461827645,True
@Forthepeoplepodcast305,left,@chicksonright,0.936916304625487,1,@podsaveamerica,1.2787990076194176,True
@JesseKellyDC,right,@FarronBalanced,0.9921189474523714,1,@SaltyCracker,1.5372338957137954,True
@DropSiteNews,left,@MichaelKnowles,1.0886072660328385,1,@NovaraMedia,1.5815821975046043,True
@MichaelKnowles,right,@DropSiteNews,1.0886072660328385,1,@XAVIAER,1.4411286571421127,True
@RebelHQ,left,@chicksonright,1.0893094891797983,1,@FarronBalanced,1.365285943043524,True
@thomhartmann,left,@theisabelbrown,1.0957736308905897,1,@LeejaMiller,1.6768460877192874,True
@theisabelbrown,right,@thomhartmann,1.0957736308905897,1,@AndrewKlavan,1.2742226020498055,True
@OwenReport,left,@JesseKellyDC,1.1030555414590062,2,@TheDonLemonShow,1.09328754939584,False
@JackCocchiarellaShow,left,@SaltyCracker,1.119604151697665,1,@FarronBalanced,1.169565975833171,True
@LeejaMiller,left,@theisabelbrown,1.1788789267762851,1,@ajplus,1.3837958274925344,True
@Xanderhal,left,@CamHigby,1.2124147852527702,1,@TheMichaelCohenShow,1.8405178762636163,True
@CamHigby,right,@Xanderhal,1.2124147852527702,1,@OfficialSaharTV,1.5108749083258457,True
@SMN,left,@JillianMichaels,1.2143847190640689,1,@samharrisorg,1.607670236807412,True
@JillianMichaels,right,@SMN,1.2143847190640689,1,@glennbeck,1.4158064446868894,True
@ZubyMusic,right,@thomhartmann,1.2745111724961489,1,@BenShapiro,1.6235746728439528,True
@MrTariqNasheed,right,@thomhartmann,1.2822792280922073,1,@theisabelbrown,1.5335554723591278,True
@AnthonyBrianLogan,right,@Forthepeoplepodcast305,1.3369760611223616,1,@oann,1.619367888127338,True
