word,balanced_share_of_titles,creators_using,raw_pooled_share_of_titles,raw_titles,rank_balanced,rank_raw
trump,0.1932932889374949,225,0.23470595269019376,56923,1,1
iran,0.07758537774166906,212,0.11989081718062582,29077,2,2
war,0.05032861208415121,217,0.059448560790668334,14418,3,3
america,0.029667530080394373,211,0.029538735573890133,7164,4,6
israel,0.024830864254224934,157,0.02197675329548219,5330,5,8
ice,0.022927241673953942,198,0.02186542640261577,5303,6,9
maga,0.02134237918923821,173,0.014002449191643061,3396,7,22
epstein,0.021224870248822515,197,0.018208131811041153,4416,8,10
world,0.01815401761818381,190,0.02964181603024793,7189,9,5
says,0.017929391124641023,176,0.04253099629322679,10315,10,4
ai,0.014768972304390691,170,0.015070362719509832,3655,11,21
debate,0.014440292013713244,151,0.006325016802114386,1534,12,111
breaking,0.013889560708060146,144,0.016608323128368154,4028,13,17
gets,0.013427140901101782,181,0.010596670913581468,2570,14,35
white,0.013132732910022543,182,0.013660222076535177,3313,15,24
democrats,0.013061960816769552,157,0.010151363342115789,2462,16,41
black,0.012489158727705429,137,0.006671367135476582,1618,17,98
people,0.012318526584552968,181,0.010514206548495232,2550,18,37
truth,0.012219781742856014,177,0.006316770365605763,1532,19,112
china,0.011864571236510028,144,0.015594011437807438,3782,20,20
exposed,0.011727887459125202,169,0.007582598369679503,1839,21,79
real,0.010873011099815432,192,0.005966296813989255,1447,22,134
hasan,0.010845134377505746,126,0.0032655888574149895,792,23,382
reacts,0.010780087362752967,99,0.007446532167287211,1806,24,81
women,0.010742756814482161,144,0.005747766246510726,1394,25,150
court,0.01069103550326937,163,0.012485104874056298,3028,26,28
house,0.00996724630252203,162,0.016946427025221728,4110,27,12
interview,0.009882340304786384,152,0.005586960734592564,1355,28,158
plan,0.009410543789641675,166,0.009182407052352503,2227,29,50
kirk,0.009338347212833765,125,0.004972601214700098,1206,30,186
media,0.009329395868552465,173,0.0073104659648949195,1773,31,86
goes,0.009290014311963126,164,0.008881412119787737,2154,32,60
left,0.009235123560647499,173,0.005034449488514775,1221,33,181
right,0.009201209308104159,182,0.00575601268301935,1396,34,149
american,0.009111478225845666,173,0.009986434611943314,2422,35,45
exposes,0.008919130657996458,148,0.00606525405209274,1471,36,128
president,0.008903264152899779,150,0.016546474854553475,4013,37,18
attack,0.008838645197175943,167,0.015903252806880826,3857,38,19
election,0.008512119526063204,150,0.009442169802374148,2290,39,48
got,0.00842806861345192,166,0.004696345591661204,1139,40,212
secret,0.008271983354334139,162,0.007318712401403544,1775,41,85
man,0.008269976436783661,153,0.0067538315005628196,1638,42,96
can't,0.008237953170826184,184,0.0057683823377822855,1399,43,146
mamdani,0.008206532639794362,136,0.006605395643407593,1602,44,101
really,0.00817225740887554,167,0.004246914801941211,1030,45,251
deal,0.00811800048516482,149,0.016670171402182833,4043,46,15
inside,0.007979038619080349,147,0.008361886619744442,2028,47,64
state,0.007953855545536119,174,0.009908093465111388,2403,48,46
dr,0.007944552779857441,123,0.00564468579015293,1369,49,153
big,0.007917209955137396,163,0.012138754540694102,2944,50,29
insane,0.007847355078980633,137,0.004605634790066342,1117,51,224
vance,0.007759811635162654,140,0.009046340849960212,2194,52,54
republicans,0.007749756908438801,140,0.008085630996705548,1961,53,71
end,0.007618776182929676,167,0.007557859060153631,1833,54,80
charlie,0.007580353017192703,116,0.004049000325734242,982,55,277
calls,0.0074536584714197125,165,0.010567808385801286,2563,56,36
time,0.007384591660091027,170,0.006609518861661904,1603,57,100
tucker,0.007382325834377955,122,0.0032408495478891183,786,58,385
files,0.00728401225495359,158,0.006889897702955111,1671,59,92
day,0.007157926014423816,154,0.010802831826297061,2620,60,34
going,0.007155428431786925,166,0.006242552437028149,1514,61,118
talk,0.007150867908702538,113,0.006024021869549621,1461,62,132
don't,0.007133169194917176,167,0.005640562571898618,1368,63,154
venezuela,0.007122633466329582,152,0.009071080159486083,2200,64,53
wants,0.00700714794925944,171,0.004358241694807631,1057,65,240
alex,0.006991825910988117,143,0.00409023250827736,992,66,269
supreme,0.006988748642566808,133,0.008902028211059296,2159,67,59
military,0.006971914425756389,138,0.013470554036836831,3267,68,26
power,0.006967733321369417,155,0.00830828478243839,2015,69,66
