group,genre,month_to,n_creators,mean_js,median_js
left,streams,2026-02,17,0.7552235294117646,0.7988
left,streams,2026-03,18,0.7524777777777778,0.76015
left,streams,2026-04,21,0.6952238095238096,0.7367
left,streams,2026-05,24,0.7135250000000001,0.77505
left,streams,2026-06,22,0.6704863636363636,0.7113
left,streams,2026-07,23,0.6779,0.7267
left,streams,2026-08,20,0.682175,0.651
left,streams,2026-09,9,0.7450555555555556,0.7768
left,videos,2026-02,70,0.6835014285714286,0.7039
left,videos,2026-03,70,0.6876528571428572,0.70055
left,videos,2026-04,73,0.6359657534246576,0.6484
left,videos,2026-05,73,0.6483657534246575,0.6645
left,videos,2026-06,76,0.6296486842105263,0.6124
left,videos,2026-07,78,0.6350589743589743,0.6233
left,videos,2026-08,75,0.6309413333333334,0.6361
left,videos,2026-09,51,0.6379450980392157,0.6294
neutral,streams,2026-02,12,0.6702750000000001,0.6936
neutral,streams,2026-03,11,0.6628636363636363,0.7027
neutral,streams,2026-04,11,0.5947181818181818,0.6135
neutral,streams,2026-05,11,0.5909727272727273,0.5795
neutral,streams,2026-06,11,0.5854545454545454,0.5537
neutral,streams,2026-07,11,0.5750545454545454,0.5546
neutral,streams,2026-08,12,0.609525,0.623
neutral,streams,2026-09,10,0.62947,0.6661999999999999
neutral,videos,2026-02,25,0.5924159999999999,0.5781
neutral,videos,2026-03,26,0.6046038461538461,0.6002000000000001
neutral,videos,2026-04,29,0.539803448275862,0.5282
neutral,videos,2026-05,28,0.5729714285714286,0.5752
neutral,videos,2026-06,26,0.5412961538461538,0.5322
neutral,videos,2026-07,26,0.5148769230769231,0.502
neutral,videos,2026-08,27,0.5256296296296297,0.5342
neutral,videos,2026-09,21,0.5897142857142857,0.6051
right,streams,2026-02,15,0.7459933333333333,0.7968
right,streams,2026-03,16,0.7097,0.70755
right,streams,2026-04,16,0.69794375,0.72355
right,streams,2026-05,14,0.6525071428571428,0.653
right,streams,2026-06,13,0.6230923076923076,0.633
right,streams,2026-07,17,0.6888411764705883,0.7234
right,streams,2026-08,15,0.6733666666666667,0.6881
right,streams,2026-09,7,0.7431,0.7188
right,videos,2026-02,67,0.7191194029850746,0.7122
right,videos,2026-03,68,0.708564705882353,0.7092
right,videos,2026-04,70,0.6836571428571429,0.69065
right,videos,2026-05,68,0.6804926470588235,0.6759
right,videos,2026-06,69,0.6703057971014493,0.6883
right,videos,2026-07,70,0.6818414285714285,0.6875
right,videos,2026-08,66,0.6684909090909091,0.6560999999999999
right,videos,2026-09,47,0.6837680851063829,0.6938
