lane,genre,month_to,n_creators,mean_js,median_js
centrist_heterodox,streams,2026-04,1,0.7533,0.7533
centrist_heterodox,streams,2026-05,2,0.70065,0.70065
centrist_heterodox,streams,2026-06,1,0.8135,0.8135
centrist_heterodox,streams,2026-07,1,0.8495,0.8495
centrist_heterodox,streams,2026-08,1,0.7959,0.7959
centrist_heterodox,streams,2026-09,1,0.8299,0.8299
centrist_heterodox,videos,2026-02,5,0.7575200000000001,0.7558
centrist_heterodox,videos,2026-03,6,0.73405,0.6825
centrist_heterodox,videos,2026-04,6,0.6395166666666666,0.65875
centrist_heterodox,videos,2026-05,6,0.70965,0.7372
centrist_heterodox,videos,2026-06,6,0.7002666666666667,0.6820999999999999
centrist_heterodox,videos,2026-07,6,0.67815,0.6491
centrist_heterodox,videos,2026-08,6,0.711,0.69515
centrist_heterodox,videos,2026-09,5,0.76592,0.7237
explainer_geopolitics,videos,2026-02,1,0.7385,0.7385
explainer_geopolitics,videos,2026-03,1,0.8021,0.8021
explainer_geopolitics,videos,2026-04,1,0.6618,0.6618
explainer_geopolitics,videos,2026-05,1,0.7674,0.7674
explainer_geopolitics,videos,2026-06,1,0.6837,0.6837
explainer_geopolitics,videos,2026-07,1,0.5846,0.5846
explainer_geopolitics,videos,2026-08,2,0.61575,0.61575
explainer_geopolitics,videos,2026-09,2,0.58325,0.58325
humour_satire,videos,2026-02,2,0.9107000000000001,0.9107000000000001
humour_satire,videos,2026-03,2,0.92865,0.92865
humour_satire,videos,2026-04,2,0.83735,0.83735
humour_satire,videos,2026-05,2,0.8683000000000001,0.8683000000000001
humour_satire,videos,2026-06,2,0.9095,0.9095
humour_satire,videos,2026-07,2,0.8475999999999999,0.8475999999999999
humour_satire,videos,2026-08,3,0.9169666666666667,0.9136
humour_satire,videos,2026-09,1,0.8601,0.8601
independent_digital_news,streams,2026-02,3,0.5815,0.6336
independent_digital_news,streams,2026-03,3,0.6003,0.6266
independent_digital_news,streams,2026-04,3,0.6164,0.6665
independent_digital_news,streams,2026-05,5,0.5816000000000001,0.5917
independent_digital_news,streams,2026-06,4,0.6417999999999999,0.6294
independent_digital_news,streams,2026-07,3,0.6538666666666667,0.6683
independent_digital_news,streams,2026-08,2,0.57805,0.57805
independent_digital_news,streams,2026-09,3,0.6913333333333332,0.6083
independent_digital_news,videos,2026-02,11,0.6729818181818182,0.6811
independent_digital_news,videos,2026-03,13,0.6598692307692308,0.6742
independent_digital_news,videos,2026-04,13,0.6352923076923077,0.6384
independent_digital_news,videos,2026-05,13,0.6098923076923076,0.6039
independent_digital_news,videos,2026-06,13,0.638,0.6217
independent_digital_news,videos,2026-07,13,0.5989153846153846,0.6185
independent_digital_news,videos,2026-08,12,0.651225,0.63435
independent_digital_news,videos,2026-09,9,0.6741555555555556,0.6552
interview_podcast,streams,2026-02,1,0.5343,0.5343
interview_podcast,streams,2026-03,1,0.4809,0.4809
interview_podcast,streams,2026-04,1,0.4191,0.4191
interview_podcast,streams,2026-05,1,0.4151,0.4151
interview_podcast,streams,2026-06,1,0.359,0.359
interview_podcast,streams,2026-07,1,0.3921,0.3921
interview_podcast,streams,2026-08,1,0.4487,0.4487
interview_podcast,streams,2026-09,1,0.5749,0.5749
interview_podcast,videos,2026-02,6,0.7701833333333333,0.79415
interview_podcast,videos,2026-03,9,0.6729333333333334,0.7257
interview_podcast,videos,2026-04,9,0.6836444444444445,0.7155
interview_podcast,videos,2026-05,11,0.7293818181818181,0.7803
interview_podcast,videos,2026-06,11,0.6939727272727273,0.7096
interview_podcast,videos,2026-07,9,0.7555555555555555,0.767
interview_podcast,videos,2026-08,10,0.70714,0.7239
interview_podcast,videos,2026-09,6,0.7542666666666666,0.7838
left_commentary,streams,2026-02,8,0.7233,0.7231000000000001
left_commentary,streams,2026-03,11,0.7925363636363637,0.8538
left_commentary,streams,2026-04,12,0.6813583333333333,0.69545
left_commentary,streams,2026-05,11,0.6708818181818181,0.6786
left_commentary,streams,2026-06,12,0.6914583333333333,0.74825
left_commentary,streams,2026-07,12,0.68695,0.70555
left_commentary,streams,2026-08,13,0.6758692307692308,0.7001
left_commentary,streams,2026-09,10,0.70214,0.7417499999999999
left_commentary,videos,2026-02,33,0.5907363636363636,0.5573
left_commentary,videos,2026-03,34,0.6366852941176471,0.62915
left_commentary,videos,2026-04,34,0.6037,0.5965
left_commentary,videos,2026-05,34,0.6108529411764705,0.5924
left_commentary,videos,2026-06,35,0.6023771428571429,0.5785
left_commentary,videos,2026-07,34,0.5977882352941176,0.58175
left_commentary,videos,2026-08,35,0.5955457142857143,0.5522
left_commentary,videos,2026-09,33,0.5867878787878789,0.5709
legal_institutional,streams,2026-02,1,0.7025,0.7025
legal_institutional,streams,2026-03,1,0.6807,0.6807
legal_institutional,streams,2026-04,1,0.6864,0.6864
legal_institutional,streams,2026-05,1,0.7364,0.7364
legal_institutional,streams,2026-06,1,0.7131,0.7131
legal_institutional,streams,2026-07,1,0.6644,0.6644
legal_institutional,streams,2026-08,1,0.5469,0.5469
legal_institutional,streams,2026-09,1,0.6277,0.6277
legal_institutional,videos,2026-02,4,0.574825,0.5909500000000001
legal_institutional,videos,2026-03,4,0.62555,0.64115
legal_institutional,videos,2026-04,4,0.62815,0.6104499999999999
legal_institutional,videos,2026-05,4,0.6119749999999999,0.64515
legal_institutional,videos,2026-06,4,0.61495,0.6546000000000001
legal_institutional,videos,2026-07,4,0.61115,0.6507000000000001
legal_institutional,videos,2026-08,4,0.5679500000000001,0.57835
legal_institutional,videos,2026-09,4,0.6138,0.63415
right_commentary,streams,2026-02,3,0.6466,0.5701
right_commentary,streams,2026-03,8,0.77085,0.8311
right_commentary,streams,2026-04,10,0.65315,0.6534500000000001
right_commentary,streams,2026-05,7,0.7079000000000001,0.7419
right_commentary,streams,2026-06,7,0.6790428571428572,0.7034
right_commentary,streams,2026-07,7,0.7423428571428571,0.7538
right_commentary,streams,2026-08,9,0.7234222222222222,0.6454
right_commentary,streams,2026-09,4,0.6389750000000001,0.67395
right_commentary,videos,2026-02,40,0.709795,0.7166
right_commentary,videos,2026-03,46,0.7211478260869566,0.7120500000000001
right_commentary,videos,2026-04,49,0.6798020408163264,0.7103
right_commentary,videos,2026-05,50,0.6739879999999999,0.67735
