creator,genre,month_from,month_to,n_from,n_to,js_distance,group,organisation,clipper,partial_month,low_n
@60minutes,videos,2026-01,2026-02,39,31,0.8005,neutral,CBS News,False,False,False
@60minutes,videos,2026-02,2026-03,31,51,0.7919,neutral,CBS News,False,False,False
@60minutes,videos,2026-03,2026-04,51,62,0.7624,neutral,CBS News,False,False,False
@60minutes,videos,2026-04,2026-05,62,51,0.6941,neutral,CBS News,False,False,False
@60minutes,videos,2026-05,2026-06,51,24,0.7462,neutral,CBS News,False,False,False
@60minutes,videos,2026-08,2026-09,18,46,0.9613,neutral,CBS News,False,True,False
@ABCNews,streams,2026-01,2026-02,76,95,0.515,neutral,ABC News,False,False,False
@ABCNews,streams,2026-02,2026-03,95,70,0.6218,neutral,ABC News,False,False,False
@ABCNews,streams,2026-03,2026-04,70,73,0.6472,neutral,ABC News,False,False,False
@ABCNews,streams,2026-04,2026-05,73,71,0.5766,neutral,ABC News,False,False,False
@ABCNews,streams,2026-05,2026-06,71,49,0.5735,neutral,ABC News,False,False,False
@ABCNews,streams,2026-06,2026-07,49,50,0.508,neutral,ABC News,False,False,False
@ABCNews,streams,2026-07,2026-08,50,73,0.5194,neutral,ABC News,False,False,False
@ABCNews,streams,2026-08,2026-09,73,33,0.4812,neutral,ABC News,False,True,False
@ABCNews,videos,2026-01,2026-02,875,946,0.5234,neutral,ABC News,False,False,False
@ABCNews,videos,2026-02,2026-03,946,907,0.5538,neutral,ABC News,False,False,False
@ABCNews,videos,2026-03,2026-04,907,924,0.4674,neutral,ABC News,False,False,False
@ABCNews,videos,2026-04,2026-05,924,883,0.5076,neutral,ABC News,False,False,False
@ABCNews,videos,2026-05,2026-06,883,915,0.4613,neutral,ABC News,False,False,False
@ABCNews,videos,2026-06,2026-07,915,883,0.4353,neutral,ABC News,False,False,False
@ABCNews,videos,2026-07,2026-08,883,1073,0.4326,neutral,ABC News,False,False,False
@ABCNews,videos,2026-08,2026-09,1073,565,0.484,neutral,ABC News,False,True,False
@ANINewsIndia,streams,2026-01,2026-02,720,804,0.3387,neutral,ANI,False,False,False
@ANINewsIndia,streams,2026-02,2026-03,804,770,0.4287,neutral,ANI,False,False,False
@ANINewsIndia,streams,2026-03,2026-04,770,735,0.3973,neutral,ANI,False,False,False
@ANINewsIndia,streams,2026-04,2026-05,735,823,0.3019,neutral,ANI,False,False,False
@ANINewsIndia,streams,2026-05,2026-06,823,888,0.3036,neutral,ANI,False,False,False
@ANINewsIndia,streams,2026-06,2026-07,888,959,0.3043,neutral,ANI,False,False,False
@ANINewsIndia,streams,2026-07,2026-08,959,1224,0.349,neutral,ANI,False,False,False
@ANINewsIndia,streams,2026-08,2026-09,1224,656,0.4422,neutral,ANI,False,True,False
@ANINewsIndia,videos,2026-01,2026-02,1271,1517,0.3771,neutral,ANI,False,False,False
@ANINewsIndia,videos,2026-02,2026-03,1517,1226,0.4153,neutral,ANI,False,False,False
@ANINewsIndia,videos,2026-03,2026-04,1226,1323,0.3686,neutral,ANI,False,False,False
@ANINewsIndia,videos,2026-04,2026-05,1323,1134,0.3818,neutral,ANI,False,False,False
@ANINewsIndia,videos,2026-05,2026-06,1134,1382,0.3131,neutral,ANI,False,False,False
@ANINewsIndia,videos,2026-06,2026-07,1382,1352,0.3127,neutral,ANI,False,False,False
@ANINewsIndia,videos,2026-07,2026-08,1352,1953,0.3682,neutral,ANI,False,False,False
@ANINewsIndia,videos,2026-08,2026-09,1953,1121,0.4341,neutral,ANI,False,True,False
@ActualJusticeWarrior,videos,2026-01,2026-02,37,45,0.7334,right,Actual Justice Warrior,False,False,False
@ActualJusticeWarrior,videos,2026-02,2026-03,45,47,0.6694,right,Actual Justice Warrior,False,False,False
@ActualJusticeWarrior,videos,2026-03,2026-04,47,47,0.7225,right,Actual Justice Warrior,False,False,False
@ActualJusticeWarrior,videos,2026-04,2026-05,47,52,0.7349,right,Actual Justice Warrior,False,False,False
@ActualJusticeWarrior,videos,2026-05,2026-06,52,48,0.7187,right,Actual Justice Warrior,False,False,False
@ActualJusticeWarrior,videos,2026-06,2026-07,48,42,0.6976,right,Actual Justice Warrior,False,False,False
@ActualJusticeWarrior,videos,2026-07,2026-08,42,60,0.7334,right,Actual Justice Warrior,False,False,False
@AfterPartyEmily,videos,2026-01,2026-02,34,48,0.69,right,Emily Jashinsky,False,False,False
@AfterPartyEmily,videos,2026-02,2026-03,48,44,0.8692,right,Emily Jashinsky,False,False,False
@AfterPartyEmily,videos,2026-03,2026-04,44,46,0.8508,right,Emily Jashinsky,False,False,False
@AfterPartyEmily,videos,2026-04,2026-05,46,49,0.8558,right,Emily Jashinsky,False,False,False
@AfterPartyEmily,videos,2026-05,2026-06,49,42,0.7134,right,Emily Jashinsky,False,False,False
@AfterPartyEmily,videos,2026-06,2026-07,42,46,0.8268,right,Emily Jashinsky,False,False,False
@AfterPartyEmily,videos,2026-07,2026-08,46,67,0.7089,right,Emily Jashinsky,False,False,False
@AfterPartyEmily,videos,2026-08,2026-09,67,34,0.8123,right,Emily Jashinsky,False,True,False
@AndWeKnowOfficial-o9b,videos,2026-02,2026-03,22,17,0.7013,right,And We Know,False,False,False
@AndWeKnowOfficial-o9b,videos,2026-03,2026-04,17,19,0.6255,right,And We Know,False,False,False
@AndWeKnowOfficial-o9b,videos,2026-04,2026-05,19,24,0.6698,right,And We Know,False,False,False
@AndWeKnowOfficial-o9b,videos,2026-05,2026-06,24,23,0.5615,right,And We Know,False,False,False
@AndWeKnowOfficial-o9b,videos,2026-06,2026-07,23,22,0.5734,right,And We Know,False,False,False
@AndWeKnowOfficial-o9b,videos,2026-07,2026-08,22,35,0.62,right,And We Know,False,False,False
@AndrewKlavan,videos,2026-01,2026-02,22,22,0.8193,right,Daily Wire,False,False,False
@AndrewKlavan,videos,2026-02,2026-03,22,21,0.8103,right,Daily Wire,False,False,False
@AndrewKlavan,videos,2026-03,2026-04,21,21,0.7636,right,Daily Wire,False,False,False
@AndrewKlavan,videos,2026-04,2026-05,21,23,0.6802,right,Daily Wire,False,False,False
@AndrewKlavan,videos,2026-05,2026-06,23,22,0.7193,right,Daily Wire,False,False,False
@AndrewKlavan,videos,2026-06,2026-07,22,21,0.7746,right,Daily Wire,False,False,False
@AndrewKlavan,videos,2026-07,2026-08,21,29,0.784,right,Daily Wire,False,False,False
@AndrewKlavan,videos,2026-08,2026-09,29,15,0.9763,right,Daily Wire,False,True,False
@AnthonyBrianLogan,videos,2026-01,2026-02,27,20,0.9103,right,Anthony Brian Logan,False,False,False
@AnthonyBrianLogan,videos,2026-02,2026-03,20,37,0.9301,right,Anthony Brian Logan,False,False,False
@AnthonyBrianLogan,videos,2026-03,2026-04,37,53,0.8125,right,Anthony Brian Logan,False,False,False
@AnthonyBrianLogan,videos,2026-04,2026-05,53,43,0.7568,right,Anthony Brian Logan,False,False,False
@AnthonyBrianLogan,videos,2026-05,2026-06,43,22,0.8758,right,Anthony Brian Logan,False,False,False
@AnthonyBrianLogan,videos,2026-08,2026-09,15,20,0.8242,right,Anthony Brian Logan,False,True,False
@AsmonTV,videos,2026-01,2026-02,101,89,0.5105,right,Asmongold,True,False,False
@AsmonTV,videos,2026-02,2026-03,89,97,0.5194,right,Asmongold,True,False,False
@AsmonTV,videos,2026-03,2026-04,97,92,0.5658,right,Asmongold,True,False,False
@AsmonTV,videos,2026-04,2026-05,92,117,0.597,right,Asmongold,True,False,False
@AsmonTV,videos,2026-05,2026-06,117,99,0.4477,right,Asmongold,True,False,False
@AsmonTV,videos,2026-06,2026-07,99,101,0.5322,right,Asmongold,True,False,False
@AsmonTV,videos,2026-07,2026-08,101,77,0.5775,right,Asmongold,True,False,False
@AsmonTV,videos,2026-08,2026-09,77,102,0.5161,right,Asmongold,True,True,False
@AssociatedPress,streams,2026-01,2026-02,127,155,0.6448,neutral,Associated Press,False,False,False
@AssociatedPress,streams,2026-02,2026-03,155,131,0.7266,neutral,Associated Press,False,False,False
@AssociatedPress,streams,2026-03,2026-04,131,125,0.6989,neutral,Associated Press,False,False,False
@AssociatedPress,streams,2026-04,2026-05,125,110,0.6986,neutral,Associated Press,False,False,False
@AssociatedPress,streams,2026-05,2026-06,110,129,0.6879,neutral,Associated Press,False,False,False
@AssociatedPress,streams,2026-06,2026-07,129,167,0.6464,neutral,Associated Press,False,False,False
@AssociatedPress,streams,2026-07,2026-08,167,131,0.6802,neutral,Associated Press,False,False,False
@AssociatedPress,streams,2026-08,2026-09,131,76,0.6806,neutral,Associated Press,False,True,False
@AssociatedPress,videos,2026-01,2026-02,604,640,0.5411,neutral,Associated Press,False,False,False
@AssociatedPress,videos,2026-02,2026-03,640,599,0.6025,neutral,Associated Press,False,False,False
@AssociatedPress,videos,2026-03,2026-04,599,664,0.4926,neutral,Associated Press,False,False,False
@AssociatedPress,videos,2026-04,2026-05,664,594,0.4981,neutral,Associated Press,False,False,False
@AssociatedPress,videos,2026-05,2026-06,594,683,0.4652,neutral,Associated Press,False,False,False
@AssociatedPress,videos,2026-06,2026-07,683,614,0.4787,neutral,Associated Press,False,False,False
@AssociatedPress,videos,2026-07,2026-08,614,813,0.4718,neutral,Associated Press,False,False,False
@AssociatedPress,videos,2026-08,2026-09,813,361,0.5434,neutral,Associated Press,False,True,False
@BBCNews,videos,2026-01,2026-02,194,259,0.6075,neutral,BBC,False,False,False
@BBCNews,videos,2026-02,2026-03,259,266,0.6419,neutral,BBC,False,False,False
@BBCNews,videos,2026-03,2026-04,266,291,0.4804,neutral,BBC,False,False,False
@BBCNews,videos,2026-04,2026-05,291,272,0.5116,neutral,BBC,False,False,False
@BBCNews,videos,2026-05,2026-06,272,277,0.5092,neutral,BBC,False,False,False
@BBCNews,videos,2026-06,2026-07,277,280,0.5239,neutral,BBC,False,False,False
@BBCNews,videos,2026-07,2026-08,280,402,0.5055,neutral,BBC,False,False,False
