genre,titles,creator,group,topic_cluster,topic_cluster_k_groups
videos,all,@60minutes,neutral,0,0
videos,all,@ABCNews,neutral,0,0
videos,all,@ANINewsIndia,neutral,0,0
videos,all,@ActualJusticeWarrior,right,0,0
videos,all,@AfterPartyEmily,right,0,0
videos,all,@AlexStein99,right,0,0
videos,all,@AndWeKnowOfficial-o9b,right,0,0
videos,all,@AndrewKlavan,right,0,0
videos,all,@AnthonyBrianLogan,right,0,0
videos,all,@AsmonTV,right,0,0
videos,all,@AssociatedPress,neutral,0,0
videos,all,@BBCNews,neutral,0,0
videos,all,@BadEmpanadaLive,left,0,0
videos,all,@BadFaithPodcast,left,0,0
videos,all,@BelleRanch,left,0,0
videos,all,@BenShapiro,right,0,0
videos,all,@BlackConservativePerspective,right,0,0
videos,all,@BlazeTV,right,0,0
videos,all,@BreakThroughNews,left,0,0
videos,all,@BrittanyVenti,neutral,0,0
videos,all,@CBSNews,neutral,0,0
videos,all,@CNN,left,0,0
videos,all,@CamHigby,right,0,0
videos,all,@CashJordan,right,0,0
videos,all,@ChadPrather1,right,0,0
videos,all,@ClipsCandaceOwens,neutral,0,0
videos,all,@ClubRandomPodcast,neutral,2,2
videos,all,@ColemanHughesOfficial,right,0,0
videos,all,@CoreyGilShusterAskProject,neutral,0,0
videos,all,@DailyDenims,left,0,0
videos,all,@DannyHaiphongYT,left,0,0
videos,all,@DarkHorsePod,right,0,0
videos,all,@DemocracyDocket,left,0,0
videos,all,@DemocracyNow,left,0,0
videos,all,@DestinyDGGClips,right,0,0
videos,all,@DoubleDownNews,left,0,0
videos,all,@DrSteveTurleyTV,right,0,0
videos,all,@DropSiteNews,left,0,0
videos,all,@DueDissidence,left,0,0
videos,all,@DylanBurnsLIVE,left,0,0
videos,all,@EzraKleinShow,left,0,0
videos,all,@FarronBalanced,left,0,0
videos,all,@Firstpost,neutral,0,0
videos,all,@FleccasTalks,right,0,0
videos,all,@Forbes,neutral,0,0
videos,all,@Forthepeoplepodcast305,left,0,0
videos,all,@FoxNews,right,0,0
videos,all,@FoxNewsChannelClips,right,0,0
videos,all,@FreshFitMiami,right,0,0
videos,all,@GeopoliticalEconomyReport,left,0,0
videos,all,@GlennKirschner2,left,0,0
videos,all,@GrahamAllen,right,0,0
videos,all,@HangOutwithSeanHannity,right,0,0
videos,all,@HasanAbi,left,0,0
videos,all,@HasanAbiVODs3,left,1,1
videos,all,@HasanReactionsfanTwo,left,0,0
videos,all,@HasanabiClips,left,0,0
videos,all,@JackCocchiarellaShow,left,0,0
videos,all,@JacksonHinkleOfficial,neutral,0,0
videos,all,@JamarlThomas,left,0,0
videos,all,@JesseKellyDC,right,0,0
videos,all,@JillianMichaels,right,0,0
