month,topic_id,label,z_vs_own_months,share_month,share_mean_all_months,jump,n_titles_month,top_entities,example_1,example_2,example_3
2026-01,28,Trump and Greenland politics,2.66,0.0311,0.004,0.027,1655,Greenland (877); Trump (428); US (234); NATO (165); Denmark (108),‘Like it or not’: Trump threatens to take Greenland by force | Morning in America,What Trump Is Really Doing With Greenland,Davos: Trump's Warning to Europe About Greenland
2026-01,202,Trump at Davos and World Economic Forum,2.66,0.0073,0.0011,0.0062,397,Davos (151); Trump (78); World Economic Forum (29); WEF (21); US (17),Davos 2026 LIVE: US President Donald Trump Addresses in Davos for World Economic Forum,TRUMP'S DAVOS BOMBSHELL LIVE | World Leaders React to President Trump's Ultimatum at Davos,"LIVE: President Trump delivers remarks at World Economic Forum in Davos, Switzerland"
2026-01,6,Trump vs Maduro in Venezuela,2.65,0.0585,0.0089,0.0497,2425,Venezuela (1046); Maduro (616); US (580); Trump (330); U.S (162),'US Will Run Venezuela After Maduro’s Capture': Trump's Big Announcement On Caracas Action,"Special Report on Venezuela: U.S. Abducts Maduro, Trump Says ""We Are Going to Run"" Oil-Rich Nation",Maduro Captured: Trump vs Venezuela
2026-01,79,Somali Fraud in Minnesota,2.63,0.0107,0.0024,0.0083,294,Minnesota (116); Tim Walz (20); Nick Shirley (17); Minneapolis (16); Somali Fraud (12),Somali Fraud in Minnesota: THESE Key People MUST Be Questioned!,The Truth About Somali Fraud in Minnesota,NEW: Details emerge on potential Somali-linked fraud in Minnesota
2026-01,201,Jack Smith Testifies on Trump Investigations,2.62,0.0058,0.0012,0.0046,202,Jack Smith (137); Trump (50); GOP (16); Congress (11); Jack Smith Testifies (8),LIVE: Jack Smith testifies about his Trump investigations,Jack Smith Testifies to Congress on Trump Crimes | Part 2,Highlights from Jack Smith's House testimony about Trump investigations
2026-01,0,ICE protests in Minneapolis,2.59,0.1184,0.0232,0.0953,3381,Minneapolis (1003); Minnesota (531); Trump (190); US (70); Alex Pretti (60),"What we know in Minneapolis a day after fatal ICE shooting: Protests, agent details, more",Anti-ICE Protests LIVE From Washington DC: Charged Scenes After ICE Killing in Minneapolis | US News,ICE PROTESTERS KIDNAP & ATTACK JOURNALISTS IN MINNESOTA! POLICE FINALLY ACT & CRACK DOWN!
2026-02,178,Prince Andrew Epstein Arrest Revelations,2.66,0.0079,0.0011,0.0069,338,Andrew (89); Prince Andrew (80); UK (51); Andrew Mountbatten-Windsor (34); Epstein (25),Prince Andrew Arrested — Is the Epstein Reckoning Finally Here? | Gerry Callahan Show,Epstein files: Britain’s former Prince Andrew arrested,BOMBSHELL Epstein News: Former Prince Andrew ARRESTED!
2026-02,111,Super Bowl Halftime Show Controversy,2.66,0.0135,0.0024,0.0111,353,Bad Bunny (43); NFL (33); Patriots (15); Seahawks (10); Kid Rock (8),Super Bowl Halftime Show DISGRACE! - Cultural Insurrection Bad Bunny Backlash - Full Analysis,Bad Bunny Boycott: Inside TPUSA's All-American Super Bowl Halftime Show,Why did Bad Bunny's Super Bowl show hit a nerve? | The Stream
2026-02,63,Nancy Guthrie Disappearance Case,2.65,0.0146,0.0026,0.012,1356,Nancy Guthrie (678); Guthrie (261); FBI (199); Savannah Guthrie (177); America (42),"Nancy Guthrie Case: New Timeline, “Prime Suspect” Rumors, & Missing Camera Footage",What we know about the Nancy Guthrie kidnapping suspect,Investigators back at Nancy Guthrie’s house | NewsNation Live
2026-02,86,Supreme Court and Trump Tariffs,2.65,0.0139,0.0024,0.0115,555,Trump (210); Supreme Court (146); US (45); US Supreme Court (16); Vantage (13),SPECIAL REPORT: Supreme Court invalidates most of Trump's tariffs,Supreme Court rules against Trump's tariffs | Special Report,Special Report: Supreme Court strikes down most of Trump's tariffs
2026-02,118,US Politics and Winter Olympics,2.65,0.0117,0.002,0.0097,504,Team USA (39); U.S (34); Lindsey Vonn (28); US (24); Canada (21),Olympic glory becomes political puck | Morning in America,‘MIRACLE in Milan’: Sportscaster celebrates Team USA’s hockey gold at Olympics,"Winter Olympics: Trump Calls Olympian ""Loser"" For US Criticism | First Sports With Rupha Ramani"
2026-02,18,Epstein Files Revelations,2.64,0.0544,0.0099,0.0446,1026,Epstein (117); Jeffrey Epstein (43); Epstein Files (37); UK (24); US (17),The Disturbing Facts The Epstein Files REVEALED,Epstein Files: The Most Disturbing Revelations,What Everyone's Missing About the Epstein Files
2026-03,169,No Kings Protests Movement,2.65,0.0074,0.0018,0.0056,178,Trump (24); US (13); Kings (12); Donald Trump (7); Bruce Springsteen (5),WATCH LIVE: NO KINGS PROTESTS,"WATCH: The ""No Kings"" Protests Released New Levels Of ABSURD","LIVE: ""No Kings"" protest in New York against Donald Trump and his administration's policies."
2026-03,165,Joe Kent Resignation and Leaks,2.65,0.0103,0.0015,0.0088,165,Joe Kent (88); Iran (28); Trump (17); FBI (10); Israel (10),Joe Kent in HOT WATERS as Trump Exposes Real Reason He Flipped on America & Israel!,"The Fallout of Joe Kent: Leaks, Lies, and Media Manipulation","What Really Happened Behind-the-Scenes in the Trump Administration Ahead of Iran War, with Joe Kent"
2026-03,7,Iran political unrest,2.57,0.0679,0.0209,0.0469,2453,Iran (1549); US (366); Khamenei (92); Israel (84); Tehran (81),IRAN’S FINAL CHAPTER,Iran’s long history of conflict comes to a head | NewsNation Prime,What happens next in Iran and Middle East? | The Wrap
2026-03,106,Iran-Israel missile conflict,2.53,0.0175,0.0048,0.0127,1473,Iran (909); Israel (627); US (336); Tel Aviv (136); Tehran (116),"US Iran War LIVE: Heavy Strikes and Explosion Across Israel, Iran","Iran's Missile Barrage SMASHES Tel Aviv, US-Israeli Defenses FAIL | Sharmine Narwani",IRAN ATTACKS ISRAEL LIVE | Cluster Bombs Target Tel Aviv in Major Escalation | WORLD NEWS LIVE
2026-03,180,Media headlines and trends,2.45,0.0017,0.001,0.0006,51,Top U.S. & World Headlines (22); World (1); Weekend Roundup (1); Headlines & Hot Takes (1); Bloomberg (1),Top U.S. & World Headlines,Weekend Roundup! Headlines & Pop Culture Moments,THE GOOD WORD: Headlines from the week worth smiling about
2026-03,207,ISIS-inspired NYC terror plots,2.34,0.0077,0.0039,0.0038,367,Michigan (59); FBI (46); NYC (26); US (26); ISIS (25),‘CHILLING DETAILS’ revealed into alleged ISIS-inspired NYC plot,"""Die in Your Rage"": The Chilling Truth Behind the NYC Terror Plot",New York Bomb Plot Exposes the Islamist Threat the Media Still Won’t Name
2026-04,109,King Charles III and Trump State Visit,2.64,0.0071,0.0013,0.0057,432,US (91); Trump (76); Charles III (65); Congress (61); UK (56),WATCH : Britain’s King Charles addresses Joint session of U.S. Congress |Trump | State Visit |UK,Donald Trump And King Charles III Viral Moments Amid King Charles' US Visit | Firstpost,What’s at stake as King Charles visits Trump | The Excerpt
2026-04,107,Trump and Pope Leo Feud,2.63,0.0126,0.0022,0.0104,506,Trump (139); Pope Leo (104); Leo XIV (53); Iran (48); Jesus (38),Why Trump And Pope Leo Are at Odds — Inside The Feud And The 'Blasphemous' AI Jesus Photo,Trump's fresh criticism of Pope Leo over Iran war,Has Trump's feud with Pope Leo crossed a line with Catholics? | Global News Podcast
2026-04,176,Eric Swalwell Allegations and Resignation,2.61,0.0065,0.0011,0.0054,272,Eric Swalwell (117); Swalwell (51); Congress (29); California (13); House (10),Serious Allegations Against Rep. Eric Swalwell Have Surfaced,ERIC SWALWELL'S CAREER IS OVER! THE SHOCKING ALLEGATIONS - AND WHY NOW,What to know about the Eric Swalwell allegations
