grouping,group,month,n_videos,n_creators,median_views,creator_median_views,mean_log_views,relative_log_views,relative_log_views_se
channel_group,left,2026-01,8344,102,59000.0,55500.0,10.8452,0.0,0.012
channel_group,left,2026-02,9528,101,59000.0,59000.0,10.8307,-0.0,0.0113
channel_group,left,2026-03,8713,100,69000.0,59000.0,10.949,0.0,0.0123
channel_group,left,2026-04,9805,102,71000.0,54750.0,11.0323,-0.0,0.011
channel_group,left,2026-05,9327,103,47000.0,41000.0,10.6284,0.0,0.0112
channel_group,left,2026-06,9285,104,41000.0,40500.0,10.4908,0.0,0.0114
channel_group,left,2026-07,9235,103,43000.0,47000.0,10.5046,-0.0,0.0116
channel_group,left,2026-08,12492,104,44000.0,45500.0,10.5574,-0.0,0.0098
channel_group,left,2026-09,6461,101,70000.0,79000.0,11.0218,0.0,0.0134
channel_group,left,all,83190,104,54000.0,49500.0,10.7453,0.0,0.0038
channel_group,neutral,2026-01,9577,36,9700.0,15000.0,9.2741,-0.0,0.0149
channel_group,neutral,2026-02,11510,36,9900.0,19500.0,9.2959,-0.0,0.0137
channel_group,neutral,2026-03,10728,35,11000.0,23000.0,9.4341,0.0,0.0145
channel_group,neutral,2026-04,11245,36,9900.0,14250.0,9.3486,0.0,0.0137
channel_group,neutral,2026-05,11060,36,7700.0,13500.0,9.0846,-0.0,0.0141
channel_group,neutral,2026-06,11249,36,7600.0,14175.0,9.0216,-0.0,0.0135
channel_group,neutral,2026-07,10836,36,6800.0,18500.0,8.9431,0.0,0.0137
channel_group,neutral,2026-08,14402,36,7200.0,19500.0,8.9669,-0.0,0.0113
channel_group,neutral,2026-09,7714,37,11000.0,25000.0,9.5288,-0.0,0.0155
channel_group,neutral,all,98321,38,8800.0,20000.0,9.1909,-0.0,0.0046
channel_group,right,2026-01,6259,88,32000.0,26500.0,10.111,-0.0,0.0144
channel_group,right,2026-02,7323,90,32000.0,28500.0,10.0977,0.0,0.013
channel_group,right,2026-03,6908,90,32000.0,29000.0,10.0752,-0.0,0.0136
channel_group,right,2026-04,7092,90,35000.0,35500.0,10.1935,0.0,0.0132
channel_group,right,2026-05,6905,92,33000.0,22000.0,10.2538,0.0,0.0134
channel_group,right,2026-06,6913,92,28000.0,20500.0,10.1148,0.0,0.0137
channel_group,right,2026-07,6449,92,28000.0,17250.0,10.1373,-0.0,0.0141
channel_group,right,2026-08,9011,92,28000.0,19250.0,10.1548,0.0,0.0116
channel_group,right,2026-09,4769,90,44000.0,39500.0,10.602,-0.0,0.0157
channel_group,right,all,61629,92,32000.0,20500.0,10.1785,0.0,0.0045
title_label,left,2026-01,319,120,57000.0,52750.0,10.8139,0.0349,0.0543
title_label,left,2026-02,357,129,60000.0,64000.0,10.7487,-0.0466,0.0472
title_label,left,2026-03,338,123,67000.0,54000.0,10.814,0.0313,0.0481
title_label,left,2026-04,316,125,51000.0,55000.0,10.5628,-0.0837,0.0518
title_label,left,2026-05,340,125,39500.0,36000.0,10.3668,-0.018,0.0478
title_label,left,2026-06,358,130,54000.0,50750.0,10.5501,0.0631,0.048
title_label,left,2026-07,311,120,43000.0,47000.0,10.4701,0.0556,0.0555
title_label,left,2026-08,295,127,49000.0,47350.0,10.4961,0.014,0.05
title_label,left,2026-09,246,106,86500.0,87000.0,11.1816,0.0414,0.0505
title_label,left,all,2880,214,55000.0,43500.0,10.6544,0.0093,0.0168
title_label,right,2026-01,276,108,40500.0,33775.0,10.444,0.0504,0.0536
title_label,right,2026-02,290,112,27000.0,33250.0,10.2305,-0.024,0.0497
title_label,right,2026-03,274,109,26500.0,37000.0,10.1593,-0.021,0.0555
title_label,right,2026-04,275,106,45000.0,44500.0,10.4638,0.1306,0.0546
title_label,right,2026-05,279,116,30000.0,41750.0,10.3024,-0.0011,0.0506
title_label,right,2026-06,301,110,29000.0,32500.0,10.1924,0.1103,0.0488
title_label,right,2026-07,262,109,26500.0,30000.0,10.1957,0.018,0.0576
title_label,right,2026-08,291,114,29000.0,25500.0,10.2973,0.0191,0.0513
title_label,right,2026-09,184,92,54500.0,48750.0,10.7851,0.0644,0.0681
title_label,right,all,2432,190,32000.0,37000.0,10.3228,0.0379,0.018
title_label,neither,2026-01,684,217,28000.0,37000.0,10.2094,0.0055,0.0388
title_label,neither,2026-02,721,225,38000.0,49400.0,10.2942,0.0091,0.0401
title_label,neither,2026-03,718,228,42500.0,45500.0,10.3867,0.0109,0.039
title_label,neither,2026-04,745,232,29000.0,36500.0,10.2346,-0.0229,0.0386
title_label,neither,2026-05,807,237,31000.0,35000.0,10.3317,0.0532,0.0383
title_label,neither,2026-06,738,227,21000.0,24000.0,9.93,-0.0912,0.0364
title_label,neither,2026-07,760,221,25000.0,28000.0,9.9688,-0.0797,0.0382
title_label,neither,2026-08,728,227,28500.0,37000.0,10.1457,0.0279,0.0382
title_label,neither,2026-09,577,211,39000.0,41000.0,10.5206,-0.065,0.0386
title_label,neither,all,6478,267,30000.0,34000.0,10.2171,-0.0156,0.0129
caps_style,all_caps,2026-01,284,33,97500.0,100000.0,10.2678,0.1013,0.0521
caps_style,all_caps,2026-02,411,38,113000.0,62500.0,10.7492,0.0285,0.0418
caps_style,all_caps,2026-03,366,41,101000.0,114500.0,11.2013,0.0296,0.0366
caps_style,all_caps,2026-04,598,39,36500.0,70000.0,9.2271,0.0246,0.0386
caps_style,all_caps,2026-05,429,33,62000.0,90000.0,10.0811,0.0446,0.0476
caps_style,all_caps,2026-06,412,34,43000.0,78750.0,9.9284,0.0385,0.0483
caps_style,all_caps,2026-07,329,34,87000.0,86500.0,11.0394,0.0794,0.0374
caps_style,all_caps,2026-08,473,34,76000.0,82000.0,10.9366,0.0198,0.0282
caps_style,all_caps,2026-09,192,30,153500.0,114000.0,11.4706,0.0171,0.0495
caps_style,all_caps,all,3494,76,76000.0,51000.0,10.4104,0.04,0.0142
caps_style,selective_caps,2026-01,7631,181,54000.0,41000.0,10.6514,0.0533,0.0124
caps_style,selective_caps,2026-02,8660,192,54000.0,49000.0,10.64,0.0466,0.0115
caps_style,selective_caps,2026-03,7934,184,61000.0,44750.0,10.7125,0.0843,0.0125
caps_style,selective_caps,2026-04,8930,195,56000.0,45800.0,10.7344,0.059,0.0112
caps_style,selective_caps,2026-05,8777,194,44000.0,33250.0,10.5288,0.0579,0.0116
caps_style,selective_caps,2026-06,8845,197,39000.0,32000.0,10.3527,0.0552,0.0118
caps_style,selective_caps,2026-07,8448,191,37000.0,33000.0,10.2917,0.0255,0.0122
caps_style,selective_caps,2026-08,11997,207,39000.0,33000.0,10.3268,0.0417,0.01
