pair,titles,channels,bound_first,bound_second
white house,3594,150,0.8166,0.6187
supreme court,1935,136,0.7806,0.5376
jd vance,1498,130,0.9727,0.541
middle east,1474,95,0.911,0.8748
charlie kirk,1157,118,0.8778,0.7146
lindsay clancy,1103,95,0.96,0.8375
nancy guthrie,1054,39,0.8293,0.6075
artemis ii,931,44,0.8858,0.9301
lindsey graham,877,127,0.7639,0.5217
elon musk,798,115,0.8498,0.7451
let talk,784,13,0.598,0.5199
kristi noem,678,106,0.9869,0.6307
pam bondi,674,113,0.9868,0.5825
todd blanche,652,69,0.9183,0.5406
kash patel,593,92,0.9251,0.7671
candace owens,569,78,0.7323,0.9452
karoline leavitt,538,64,0.8777,0.6513
tucker carlson,536,111,0.5782,0.9745
pope leo,518,57,0.6888,0.9453
don lemon,515,114,0.7827,0.9467
ilhan omar,478,87,0.9696,0.781
rfk jr,461,85,0.8382,0.674
birthright citizenship,447,94,0.8834,0.7667
tyler robinson,435,61,0.788,0.7178
karmelo anthony,418,72,0.9048,0.7219
correspondents dinner,417,60,0.9456,0.5104
nolan wells,412,32,0.8655,0.9471
reflecting pool,404,67,0.9642,0.6495
abdul el-sayed,375,86,0.7945,0.6522
tel aviv,365,33,0.9973,1.0
spencer pratt,331,72,0.8803,0.862
andy burnham,321,31,0.7772,0.5641
wall street,303,49,0.575,0.5372
piers morgan,279,55,0.9208,0.7729
super bowl,272,80,0.6445,0.9097
tulsi gabbard,270,74,0.806,0.7181
markwayne mullin,252,36,0.9618,0.5575
dolly parton,242,65,0.9308,0.9416
mitch mcconnell,241,63,0.8427,0.5807
luigi mangione,233,44,0.9357,0.742
ro khanna,232,63,0.9748,0.8406
ken paxton,231,45,0.7219,0.6
los angeles,204,43,0.9623,0.9761
ted cruz,196,51,0.6689,0.827
hakeem jeffries,195,55,0.933,0.5636
kim jong,183,28,0.5083,0.9839
bernie sanders,183,54,0.7066,0.7657
kyle kulinski,178,20,0.5894,0.9889
jasmine crockett,176,60,0.9412,0.6447
san diego,174,40,0.6214,0.7803
laura ingraham,163,14,0.5078,0.9819
jimmy kimmel,156,54,0.5306,0.624
natalie harp,140,42,0.5645,0.9032
nigel farage,138,28,0.9517,0.5498
tiger woods,135,27,0.7181,0.8333
jeanine pirro,124,30,0.9841,0.6327
ghislaine maxwell,124,44,0.7168,0.6169
henry nowak,115,39,0.5374,0.9829
las vegas,97,32,0.9898,0.6978
abu dhabi,96,11,0.8649,0.9897
bari weiss,95,31,0.9406,0.819
trita parsi,89,20,1.0,0.957
warner bros,88,22,0.5946,0.5399
iron dome,85,17,0.6746,0.5903
solar eclipse,84,17,0.672,0.6462
sophie cunningham,81,34,0.7941,0.9205
rude awakening,81,12,0.9,0.7642
hayden panettiere,79,23,0.8681,0.9753
jean carroll,76,35,0.8261,0.8352
byron donalds,73,26,0.8488,0.7684
sri lanka,73,10,0.7087,0.9733
kemi badenoch,71,11,0.9221,0.582
tina peters,68,10,0.8395,0.5862
blake lively,66,13,0.6667,0.9565
haley stevens,66,28,0.825,0.6735
cory booker,65,28,0.7471,0.6771
jensen huang,63,12,0.9545,0.7326
dignified transfer,61,22,1.0,0.5169
les wexner,58,19,0.9355,0.6988
delcy rodriguez,58,14,0.5918,0.5686
jillian michaels,58,15,0.9355,0.8657
ethan klein,57,13,0.7403,0.6404
billie eilish,56,36,0.8889,0.9825
nicki minaj,56,32,0.918,0.918
derangement syndrome,54,31,0.8571,0.54
jamie raskin,53,24,0.5408,0.5354
rudy giuliani,53,20,0.9464,0.6795
cape verde,51,11,0.5204,0.9273
