word,week,share,baseline,delta,channels,example_creator,example_title,example_video,example_url,example_views,example_with,plain_creator,plain_title,plain_video,plain_url,plain_views
iran,2026-03-02,0.280934,0.090943,0.189991,147,@breakingpoints,Professor Jiang Predicts: US WILL LOSE Iran War,4Ql24Z8SIeE,https://www.youtube.com/watch?v=4Ql24Z8SIeE,9100000.000000,war,@breakingpoints,Professor Jiang Predicts: US WILL LOSE Iran War,4Ql24Z8SIeE,https://www.youtube.com/watch?v=4Ql24Z8SIeE,9100000.000000
war,2026-03-02,0.186419,0.053206,0.133214,136,@breakingpoints,Professor Jiang Predicts: US WILL LOSE Iran War,4Ql24Z8SIeE,https://www.youtube.com/watch?v=4Ql24Z8SIeE,9100000.000000,iran,@breakingpoints,Professor Jiang Predicts: US WILL LOSE Iran War,4Ql24Z8SIeE,https://www.youtube.com/watch?v=4Ql24Z8SIeE,9100000.000000
epstein,2026-02-02,0.156783,0.024161,0.132622,124,@BBCNews,The fallout and impact of the Epstein files | BBC News,KACKbPWEGo4,https://www.youtube.com/watch?v=KACKbPWEGo4,2800000.000000,files,@AsmonTV,He went to Epstein's Island.. (People found this video),brfaQolOfzY,https://www.youtube.com/watch?v=brfaQolOfzY,3100000.000000
venezuela,2026-01-05,0.116388,0.005940,0.110448,104,@DemocracyNow,"""It's All About the Oil, Stupid!"": Mehdi Hasan on Trump Attacking Venezuela & Kidnapping Maduro",sRGjP_KznSI,https://www.youtube.com/watch?v=sRGjP_KznSI,1400000.000000,maduro,@msnow,'No CEO wants to go back in.' U.S. oil giants reluctant to invest in Venezuela despite Trump push,pOfIU7mUpb0,https://www.youtube.com/watch?v=pOfIU7mUpb0,2100000.000000
ice,2026-01-12,0.128165,0.026291,0.101874,114,@FoxNews,Trump sends message to father of woman killed by ICE agent in Minneapolis,wvMGcJC2meI,https://www.youtube.com/watch?v=wvMGcJC2meI,2000000.000000,minneapolis,@FoxNews,Trump sends message to father of woman killed by ICE agent in Minneapolis,wvMGcJC2meI,https://www.youtube.com/watch?v=wvMGcJC2meI,2000000.000000
deal,2026-06-15,0.099153,0.010847,0.088306,111,@FoxNews,Iran issues NEW threat to US as Trump touts peace deal,LnQZF__C3po,https://www.youtube.com/watch?v=LnQZF__C3po,1000000.000000,iran,@MeidasTouch,Obama BREAKS HIS SILENCE and RIPS Trump’s AWFUL DEAL!!!,kb_qKv9M2d0,https://www.youtube.com/watch?v=kb_qKv9M2d0,1000000.000000
maduro,2026-01-05,0.078168,0.002656,0.075512,97,@DemocracyNow,"""It's All About the Oil, Stupid!"": Mehdi Hasan on Trump Attacking Venezuela & Kidnapping Maduro",sRGjP_KznSI,https://www.youtube.com/watch?v=sRGjP_KznSI,1400000.000000,venezuela,@DemocracyNow,"""It's All About the Oil, Stupid!"": Mehdi Hasan on Trump Attacking Venezuela & Kidnapping Maduro",sRGjP_KznSI,https://www.youtube.com/watch?v=sRGjP_KznSI,1400000.000000
greenland,2026-01-19,0.078395,0.004452,0.073944,92,@msnow,Lawrence: Trump's letter threatening Greenland is 'too stupid for even him',YlKTDSSRFkQ,https://www.youtube.com/watch?v=YlKTDSSRFkQ,2500000.000000,trump,@msnow,Lawrence: Trump's letter threatening Greenland is 'too stupid for even him',YlKTDSSRFkQ,https://www.youtube.com/watch?v=YlKTDSSRFkQ,2500000.000000
fauci,2026-07-27,0.077483,0.004109,0.073374,87,@FoxNews,WATCH: Fauci's attorney REMOVED from Senate hearing,ZE02u4U7Wg4,https://www.youtube.com/watch?v=ZE02u4U7Wg4,1600000.000000,,@FoxNews,WATCH: Fauci's attorney REMOVED from Senate hearing,ZE02u4U7Wg4,https://www.youtube.com/watch?v=ZE02u4U7Wg4,1600000.000000
trump,2026-04-06,0.300351,0.231479,0.068872,148,@MeidasTouch,Trump has PSYCHOTIC MELTDOWN as Iran REFUSES DEMANDS!!!,aYWi1rr4o2o,https://www.youtube.com/watch?v=aYWi1rr4o2o,1900000.000000,iran,@msnow,‘WHY did she say those things?’: Nicolle reacts to Melania Trump’s SHOCKING Epstein speech,eALU8_IEnW8,https://www.youtube.com/watch?v=eALU8_IEnW8,2900000.000000
state,2026-02-23,0.075961,0.008757,0.067204,108,@MeidasTouch,LIVE: PEOPLE’S STATE OF THE UNION as Dems BOYCOTT TRUMP,oArKZutSbF0,https://www.youtube.com/watch?v=oArKZutSbF0,2200000.000000,trump,@MeidasTouch,LIVE: PEOPLE’S STATE OF THE UNION as Dems BOYCOTT TRUMP,oArKZutSbF0,https://www.youtube.com/watch?v=oArKZutSbF0,2200000.000000
platner,2026-07-06,0.069702,0.003924,0.065778,79,@HasanAbi,Graham Platner is done..,MGRF5hGLYnU,https://www.youtube.com/watch?v=MGRF5hGLYnU,238000.000000,graham,@FoxNews,‘The Five’ on the Platner saga: 'Where is the criminal case?',-G7z-LU2OTk,https://www.youtube.com/watch?v=-G7z-LU2OTk,331000.000000
files,2026-02-02,0.071625,0.008682,0.062943,92,@BBCNews,The fallout and impact of the Epstein files | BBC News,KACKbPWEGo4,https://www.youtube.com/watch?v=KACKbPWEGo4,2800000.000000,epstein,@BBCNews,The fallout and impact of the Epstein files | BBC News,KACKbPWEGo4,https://www.youtube.com/watch?v=KACKbPWEGo4,2800000.000000
ceasefire,2026-04-06,0.067656,0.004900,0.062756,97,@MeidasTouch,Trump FULLY SURRENDERS to IRAN as CEASEFIRE ENTERED!!,NeWF4d51G_U,https://www.youtube.com/watch?v=NeWF4d51G_U,1500000.000000,iran,@MeidasTouch,Trump PANICS as CEASEFIRE INSTANTLY BLOWS UP!!,5Qzy7oCokhQ,https://www.youtube.com/watch?v=5Qzy7oCokhQ,1700000.000000
china,2026-05-11,0.074004,0.011497,0.062508,99,@FoxNews,Rubio warns  of ‘TERRIBLE MISTAKE’ after China summit,d_nvDVlWaX4,https://www.youtube.com/watch?v=d_nvDVlWaX4,2400000.000000,,@FoxNews,Rubio warns  of ‘TERRIBLE MISTAKE’ after China summit,d_nvDVlWaX4,https://www.youtube.com/watch?v=d_nvDVlWaX4,2400000.000000
shooting,2026-01-05,0.059254,0.007802,0.051451,80,@nypost,Shocking Footage From ICE Agent’s Own Phone Shows Confrontation and Shooting of Renee Good,7QYKTTEMf-Q,https://www.youtube.com/watch?v=7QYKTTEMf-Q,1900000.000000,ice,@nypost,Shocking Footage From ICE Agent’s Own Phone Shows Confrontation and Shooting of Renee Good,7QYKTTEMf-Q,https://www.youtube.com/watch?v=7QYKTTEMf-Q,1900000.000000
minneapolis,2026-01-05,0.054886,0.006442,0.048444,71,@nypost,Moment ICE Agent Fatally Shoots Woman in Minneapolis,mS3caI3di8c,https://www.youtube.com/watch?v=mS3caI3di8c,2000000.000000,ice,@nypost,Moment ICE Agent Fatally Shoots Woman in Minneapolis,mS3caI3di8c,https://www.youtube.com/watch?v=mS3caI3di8c,2000000.000000
alex,2026-01-26,0.054143,0.005851,0.048292,81,@CBSNews,Trump reacts after fatal Border Patrol shooting of Alex Pretti,-K1jkOU2Fn4,https://www.youtube.com/watch?v=-K1jkOU2Fn4,651000.000000,shooting,@FoxNews,JUST IN: Trump addresses Renee Good and Alex Pretti shootings,2ZOVmj8m1fQ,https://www.youtube.com/watch?v=2ZOVmj8m1fQ,1000000.000000
lindsey graham,2026-07-13,0.047456,0.003086,0.044370,90,@NewsNation,"Sen. Lindsey Graham’s sister to be sworn in to fill his seat, as special election race heats up",0BxmaeHQHuU,https://www.youtube.com/watch?v=0BxmaeHQHuU,1200.000000,election,@thedavidpakmanshow,Lindsey Graham POISONING blown WIDE OPEN,xAyJWx91e6U,https://www.youtube.com/watch?v=xAyJWx91e6U,1200000.000000
america,2026-06-29,0.071079,0.027127,0.043952,90,@NBCNews,Massive celebrations for America’s 250th birthday,NUp-qqT3LxY,https://www.youtube.com/watch?v=NUp-qqT3LxY,896000.000000,th,@PragerU,America and France: A Tale of Two Revolutions | 5-Minute Videos | PragerU,7tpy6T2Cg5w,https://www.youtube.com/watch?v=7tpy6T2Cg5w,2200000.000000
supreme court,2026-06-29,0.050220,0.006865,0.043355,80,@thedavidpakmanshow,SUPREME COURT just changed America FOREVER,WZBx8wf5gKw,https://www.youtube.com/watch?v=WZBx8wf5gKw,94000.000000,america,@DemocracyDocket,"Hillary Clinton: The Supreme Court Knows Its Own Rulings Are ""Nonsensical""",4dS4KzU5q00,https://www.youtube.com/watch?v=4dS4KzU5q00,497000.000000
graham,2026-07-06,0.046747,0.003630,0.043116,75,@HasanAbi,Graham Platner is done..,MGRF5hGLYnU,https://www.youtube.com/watch?v=MGRF5hGLYnU,238000.000000,platner,@FoxNews,Senate SCRAMBLES after Graham's death leaves major leadership vacancy,SvuVoPnoZcc,https://www.youtube.com/watch?v=SvuVoPnoZcc,487000.000000
lindsay clancy,2026-08-31,0.046800,0.003893,0.042906,59,@Shoe0nHead,Female TikTok Psychosis: The Lindsay Clancy Cult,0gMN3CVBX0Y,https://www.youtube.com/watch?v=0gMN3CVBX0Y,3800000.000000,,@Shoe0nHead,Female TikTok Psychosis: The Lindsay Clancy Cult,0gMN3CVBX0Y,https://www.youtube.com/watch?v=0gMN3CVBX0Y,3800000.000000
minnesota,2026-01-26,0.045926,0.005818,0.040107,79,@DemocracyNow,“Feels Like a Cover-Up”: Minnesota AG Keith Ellison Slams Trump Admin over Deadly ICE Crackdown,Pc1b0OMXB24,https://www.youtube.com/watch?v=Pc1b0OMXB24,871000.000000,ice,@DemocracyNow,“Feels Like a Cover-Up”: Minnesota AG Keith Ellison Slams Trump Admin over Deadly ICE Crackdown,Pc1b0OMXB24,https://www.youtube.com/watch?v=Pc1b0OMXB24,871000.000000
don lemon,2026-01-26,0.039173,0.003308,0.035865,74,@FoxNews,WATCH: Don Lemon's court hearing following Minnesota church protest,LQjhSYK8Qb8,https://www.youtube.com/watch?v=LQjhSYK8Qb8,237000.000000,minnesota,@FoxNews,BREAKING: Don Lemon ARRESTED,z0gkKKwpXCI,https://www.youtube.com/watch?v=z0gkKKwpXCI,2100000.000000
canada,2026-08-24,0.041291,0.005930,0.035361,78,@MLChristiansen,"Lindsay Clancy Child Murder Trial, Swalwell Raided, Canada Trade Talks Fail | MC Live 8/23/26",6KyO2ZBG0bI,https://www.youtube.com/watch?v=6KyO2ZBG0bI,7400.000000,lindsay clancy,@CNN,'Kiss my ***': Canada reacts to Trump's new tariffs,xqbhR7nacz0,https://www.youtube.com/watch?v=xqbhR7nacz0,1500000.000000
hormuz,2026-04-13,0.039135,0.007260,0.031875,68,@FoxNews,"‘MAJOR ESCALATION’: US accuses Iran of violating ceasefire, firing on ships in Strait of Hormuz",vo8-TOmCErY,https://www.youtube.com/watch?v=vo8-TOmCErY,1700000.000000,iran,@FoxNews,"‘MAJOR ESCALATION’: US accuses Iran of violating ceasefire, firing on ships in Strait of Hormuz",vo8-TOmCErY,https://www.youtube.com/watch?v=vo8-TOmCErY,1700000.000000
bad,2026-02-09,0.036018,0.005933,0.030085,72,@OfficialFlagrant,"New Epstein Files Get Even Worse, & Bad Bunny Super Bowl Reaction | Flagrant 691",kWJm-SQbaZg,https://www.youtube.com/watch?v=kWJm-SQbaZg,616000.000000,epstein,@briantylercohen,"Barack Obama BREAKS SILENCE on Trump's ape video, Bad Bunny, and 2028 election",uI-hgSE5QIw,https://www.youtube.com/watch?v=uI-hgSE5QIw,6300000.000000
scotus,2026-06-29,0.033172,0.003590,0.029582,54,@TimcastIRL,"SCOTUS BETRAYS AMERICA, Rules There IS NO ELECTION DAY | Timcast IRL",VaIlkvTWXVI,https://www.youtube.com/watch?v=VaIlkvTWXVI,145000.000000,america,@MeidasTouch,🚨SCOTUS Justice ACCIDENTALLY LEAKS he is QUITTING?!!,Jlxi--tgpX4,https://www.youtube.com/watch?v=Jlxi--tgpX4,460000.000000
israel,2026-06-15,0.052567,0.023511,0.029055,65,@DoubleDownNews,IRAN WAR: How Israel HIJACKED Trump & Lost the Middle East,D2eOep6IHn8,https://www.youtube.com/watch?v=D2eOep6IHn8,590000.000000,iran,@TuckerCarlson,Buying Pastors & Stalking Churchgoers: Israel’s Longtime Heist on the Christian Church Exposed,ee_oaNQlwlk,https://www.youtube.com/watch?v=ee_oaNQlwlk,723000.000000
andrew,2026-02-16,0.034349,0.005329,0.029020,69,@CNN,Epstein files: Britain’s former Prince Andrew arrested,FH3HLXwksH4,https://www.youtube.com/watch?v=FH3HLXwksH4,565000.000000,epstein,@ABCNews,British police arrest Andrew Mountbatten-Windsor on suspicion of misconduct,_39j49KDl9c,https://www.youtube.com/watch?v=_39j49KDl9c,1500000.000000
king,2026-04-27,0.031541,0.002985,0.028556,58,@FoxNews,King Charles III’s state visit to US to proceed as planned following WHCD shooting,nV3XO8JuJMs,https://www.youtube.com/watch?v=nV3XO8JuJMs,78000.000000,shooting,@nypost,King Charles and Queen Camilla Treated to Historic Show of Patriotism at White House,EGm7TJcT9Xw,https://www.youtube.com/watch?v=EGm7TJcT9Xw,2200000.000000
jd vance,2026-06-15,0.033930,0.005779,0.028151,75,@AssociatedPress,JD Vance becomes the face of Trump's Iran deal to end the war,HGL8vHjjFXk,https://www.youtube.com/watch?v=HGL8vHjjFXk,367000.000000,iran,@FoxNews,JD Vance: This is what Joy Behar told me during commercial break...,JCUjMYkiAzc,https://www.youtube.com/watch?v=JCUjMYkiAzc,1800000.000000
charlie kirk,2026-09-07,0.032874,0.005517,0.027357,53,@MegynKelly,"Lindsay Clancy Wants PARDON, & Violent Leftists Against Charlie Kirk, and the Future of MAGA, w/ VDH",H_oDtPc0WaI,https://www.youtube.com/watch?v=H_oDtPc0WaI,219000.000000,lindsay clancy,@TheYoungTurks,Charlie Kirk's Investigation Has A BIG Weapon Issue,NRadU_pEzbI,https://www.youtube.com/watch?v=NRadU_pEzbI,805000.000000
obama,2026-06-15,0.031520,0.004266,0.027254,61,@MeidasTouch,Michelle Obama GETS REVENGE on Trump with POWERFUL SPEECH!!!,11W5zv3xT8A,https://www.youtube.com/watch?v=11W5zv3xT8A,1000000.000000,trump,@ABCNews,FULL SPEECH: Michelle Obama at opening of Barack Obama Presidential Center,waUjBY1oaOE,https://www.youtube.com/watch?v=waUjBY1oaOE,1300000.000000
joe,2026-03-16,0.032184,0.006194,0.025990,63,@CNN,Top Trump intel official Joe Kent resigns over Iran war,DGoWtb20woo,https://www.youtube.com/watch?v=DGoWtb20woo,1400000.000000,iran,@TuckerCarlson,Joe Kent Reveals All in First Interview Since Resigning as Trump’s Counterterrorism Director,1cbw1utqzHg,https://www.youtube.com/watch?v=1cbw1utqzHg,3500000.000000
election,2026-07-13,0.036201,0.010466,0.025735,73,@NewsNation,"Sen. Lindsey Graham’s sister to be sworn in to fill his seat, as special election race heats up",0BxmaeHQHuU,https://www.youtube.com/watch?v=0BxmaeHQHuU,1200.000000,lindsey graham,@msnow,‘EVERYONE in America needs to see this’: Nicolle on Trump advisor’s STUNNING election confession,8UDROe4Y9Xg,https://www.youtube.com/watch?v=8UDROe4Y9Xg,1200000.000000
oil,2026-01-05,0.032484,0.007427,0.025057,67,@msnow,'No CEO wants to go back in.' U.S. oil giants reluctant to invest in Venezuela despite Trump push,pOfIU7mUpb0,https://www.youtube.com/watch?v=pOfIU7mUpb0,2100000.000000,venezuela,@msnow,'No CEO wants to go back in.' U.S. oil giants reluctant to invest in Venezuela despite Trump push,pOfIU7mUpb0,https://www.youtube.com/watch?v=pOfIU7mUpb0,2100000.000000
strait,2026-04-13,0.028633,0.005343,0.023290,65,@FoxNews,"‘MAJOR ESCALATION’: US accuses Iran of violating ceasefire, firing on ships in Strait of Hormuz",vo8-TOmCErY,https://www.youtube.com/watch?v=vo8-TOmCErY,1700000.000000,hormuz,@FoxNews,"‘MAJOR ESCALATION’: US accuses Iran of violating ceasefire, firing on ships in Strait of Hormuz",vo8-TOmCErY,https://www.youtube.com/watch?v=vo8-TOmCErY,1700000.000000
melania,2026-04-06,0.026340,0.003393,0.022947,71,@msnow,‘WHY did she say those things?’: Nicolle reacts to Melania Trump’s SHOCKING Epstein speech,eALU8_IEnW8,https://www.youtube.com/watch?v=eALU8_IEnW8,2900000.000000,trump,@msnow,‘WHY did she say those things?’: Nicolle reacts to Melania Trump’s SHOCKING Epstein speech,eALU8_IEnW8,https://www.youtube.com/watch?v=eALU8_IEnW8,2900000.000000
