week,rank,word,share,baseline,delta,channels
2025-12-29,1,venezuela,0.124062,0.005940,0.118122,58
2025-12-29,2,trump,0.328571,0.231479,0.097092,77
2025-12-29,3,maduro,0.097846,0.002656,0.095189,46
2025-12-29,4,year,0.045824,0.003496,0.042328,40
2025-12-29,5,mamdani,0.048726,0.009161,0.039565,38
2025-12-29,6,fraud,0.035884,0.006320,0.029564,30
2025-12-29,7,president,0.036723,0.011303,0.025420,29
2025-12-29,8,nyc,0.024449,0.005398,0.019051,23
2025-12-29,9,zohran,0.022256,0.003367,0.018890,28
2025-12-29,10,minnesota,0.022335,0.005818,0.016517,26
2025-12-29,11,says,0.035839,0.019670,0.016168,29
2025-12-29,12,health,0.019484,0.003489,0.015995,22
2025-12-29,13,mayor,0.019159,0.003738,0.015420,25
2025-12-29,14,strikes,0.019543,0.007942,0.011601,26
2025-12-29,15,truth,0.023002,0.011462,0.011540,15
2025-12-29,16,breaking,0.029868,0.019308,0.010559,18
2025-12-29,17,donald,0.017407,0.007580,0.009827,13
2025-12-29,18,bad,0.015235,0.005933,0.009302,10
2025-12-29,19,politics,0.012421,0.004308,0.008113,13
2025-12-29,20,smith,0.010739,0.002749,0.007990,14
2026-01-05,1,venezuela,0.116388,0.005940,0.110448,104
2026-01-05,2,ice,0.122834,0.026291,0.096543,114
2026-01-05,3,maduro,0.078168,0.002656,0.075512,97
2026-01-05,4,shooting,0.059254,0.007802,0.051451,80
2026-01-05,5,minneapolis,0.054886,0.006442,0.048444,71
2026-01-05,6,greenland,0.029928,0.004452,0.025476,64
2026-01-05,7,oil,0.032484,0.007427,0.025057,67
2026-01-05,8,tim,0.027785,0.005213,0.022572,56
2026-01-05,9,minnesota,0.027081,0.005818,0.021262,59
2026-01-05,10,good,0.024812,0.004907,0.019905,51
2026-01-05,11,protests,0.023777,0.003998,0.019779,54
2026-01-05,12,fraud,0.025625,0.006320,0.019305,44
2026-01-05,13,trump,0.248285,0.231479,0.016806,122
2026-01-05,14,woman,0.020442,0.006006,0.014436,54
2026-01-05,15,regime,0.011834,0.003915,0.007919,42
2026-01-05,16,plan,0.016243,0.008371,0.007872,37
2026-01-05,17,rubio,0.011076,0.003735,0.007341,36
2026-01-05,18,mamdani,0.015699,0.009161,0.006538,39
2026-01-05,19,mark,0.011632,0.005288,0.006344,28
2026-01-05,20,change,0.010382,0.004077,0.006305,31
2026-01-12,1,ice,0.128165,0.026291,0.101874,114
2026-01-12,2,minneapolis,0.041590,0.006442,0.035147,62
2026-01-12,3,trump,0.266287,0.231479,0.034808,127
2026-01-12,4,greenland,0.031845,0.004452,0.027393,59
2026-01-12,5,minnesota,0.031110,0.005818,0.025292,69
2026-01-12,6,protests,0.023805,0.003998,0.019807,54
2026-01-12,7,venezuela,0.024857,0.005940,0.018917,54
