week,word,share,channels,titles
2026-01-12,abdul,0.001062,1,1
2026-01-19,abdul,0.000024,1,1
2026-03-02,abdul,0.000600,2,2
2026-03-23,abdul,0.000013,1,1
2026-03-30,abdul,0.000183,3,4
2026-04-06,abdul,0.001711,5,14
2026-04-13,abdul,0.000798,3,3
2026-04-20,abdul,0.000706,2,2
2026-04-27,abdul,0.001247,4,6
2026-05-11,abdul,0.001257,4,5
2026-05-25,abdul,0.001212,3,4
2026-06-01,abdul,0.000425,3,7
2026-06-08,abdul,0.000087,1,1
2026-06-15,abdul,0.000021,1,1
2026-06-29,abdul,0.001166,6,11
2026-07-06,abdul,0.002718,8,13
2026-07-13,abdul,0.003487,9,15
2026-07-20,abdul,0.000669,6,6
2026-07-27,abdul,0.010554,22,32
2026-08-03,abdul,0.034855,58,169
2026-08-10,abdul,0.011582,28,46
2026-08-17,abdul,0.002465,13,23
2026-08-24,abdul,0.011359,28,44
2026-08-31,abdul,0.010302,30,46
2026-09-07,abdul,0.001694,11,15
2025-12-29,act,0.002709,6,9
2026-01-05,act,0.002206,17,23
2026-01-12,act,0.015694,52,133
2026-01-19,act,0.006236,26,35
2026-01-26,act,0.004082,15,24
2026-02-02,act,0.009290,23,40
2026-02-09,act,0.008945,29,65
2026-02-16,act,0.005488,22,36
2026-02-23,act,0.005056,22,30
2026-03-02,act,0.003501,18,22
2026-03-09,act,0.010772,35,75
2026-03-16,act,0.013632,36,108
2026-03-23,act,0.005482,21,38
2026-03-30,act,0.000989,13,18
2026-04-06,act,0.003589,10,11
2026-04-13,act,0.006196,21,35
2026-04-20,act,0.002335,17,25
2026-04-27,act,0.010947,34,65
2026-05-04,act,0.001995,16,23
2026-05-11,act,0.003565,15,22
2026-05-18,act,0.000932,11,20
2026-05-25,act,0.000852,8,13
2026-06-01,act,0.001706,15,20
2026-06-08,act,0.003099,15,26
2026-06-15,act,0.001466,14,19
2026-06-22,act,0.004771,24,53
2026-06-29,act,0.008638,29,56
2026-07-06,act,0.003549,20,34
2026-07-13,act,0.006684,26,41
2026-07-20,act,0.003777,22,35
2026-07-27,act,0.002238,19,30
2026-08-03,act,0.003444,18,25
2026-08-10,act,0.002941,12,14
2026-08-17,act,0.001664,14,23
2026-08-24,act,0.001991,14,19
2026-08-31,act,0.002402,10,13
2026-09-07,act,0.001060,11,14
2026-09-14,act,0.000519,1,1
2025-12-29,actually,0.004127,4,4
2026-01-05,actually,0.001925,11,13
2026-01-12,actually,0.004412,12,15
2026-01-19,actually,0.008039,19,24
2026-01-26,actually,0.005126,14,18
2026-02-02,actually,0.005640,15,21
2026-02-09,actually,0.004178,11,14
2026-02-16,actually,0.004625,12,16
2026-02-23,actually,0.006186,15,17
2026-03-02,actually,0.006068,14,20
2026-03-09,actually,0.004904,15,17
2026-03-16,actually,0.005788,14,20
2026-03-23,actually,0.005137,15,20
2026-03-30,actually,0.002305,10,15
2026-04-06,actually,0.006746,17,22
2026-04-13,actually,0.008582,15,21
2026-04-20,actually,0.004701,13,15
2026-04-27,actually,0.005494,12,13
2026-05-04,actually,0.008014,18,22
2026-05-11,actually,0.004094,14,17
2026-05-18,actually,0.005312,15,18
2026-05-25,actually,0.004433,9,11
2026-06-01,actually,0.006970,15,21
2026-06-08,actually,0.001882,11,13
2026-06-15,actually,0.006672,18,27
