week,titles,channels,partial
2025-12-29,2967,85,True
2026-01-05,7756,158,False
2026-01-12,7687,157,False
2026-01-19,8050,164,False
2026-01-26,7756,160,False
2026-02-02,7782,163,False
2026-02-09,7901,162,False
2026-02-16,7590,167,False
2026-02-23,8373,168,False
2026-03-02,8405,170,False
2026-03-09,7877,167,False
2026-03-16,7844,168,False
2026-03-23,8054,171,False
2026-03-30,7679,167,False
2026-04-06,8049,174,False
2026-04-13,8030,168,False
2026-04-20,8027,173,False
2026-04-27,7670,165,False
2026-05-04,7638,173,False
2026-05-11,8029,181,False
2026-05-18,8066,170,False
2026-05-25,7385,166,False
2026-06-01,7999,175,False
2026-06-08,7882,174,False
2026-06-15,7918,171,False
2026-06-22,7837,174,False
2026-06-29,7599,168,False
2026-07-06,7760,160,False
2026-07-13,7760,166,False
2026-07-20,7859,165,False
2026-07-27,7710,163,False
2026-08-03,7377,165,False
2026-08-10,7462,164,False
2026-08-17,7487,163,False
2026-08-24,7712,163,False
2026-08-31,7728,160,False
2026-09-07,7699,163,False
2026-09-14,609,25,True
