creator,genre,text,zipf_exponent_top200,n_titles,n_tokens,n_types,top_5,top1_share
@60minutes,videos,raw,0.8965,325,3237,1209,minutes 60 the on archive,0.0748
@ABCNews,streams,raw,0.9851,590,5794,966,live news abc trump president,0.1338
@ABCNews,videos,raw,0.8302,2500,24797,5348,to in of the on,0.0232
@ANINewsIndia,streams,raw,0.842,2500,36049,5617,live in i on watch,0.0435
@ANINewsIndia,videos,raw,0.8082,2500,36040,7562,s in to of on,0.0258
@ActualJusticeWarrior,videos,raw,0.6394,392,2698,1138,for to black mamdani after,0.0185
@AfterPartyEmily,streams,raw,0.7107,74,1142,672,s and plus the w,0.0517
@AfterPartyEmily,videos,raw,0.8314,410,5582,2002,the with and s about,0.0462
@AlexStein99,videos,raw,0.7421,87,645,355,the alex stein shorts and,0.0357
@AndWeKnowOfficial-o9b,videos,raw,0.7629,185,3070,1128,26 pray the to in,0.0616
@AndrewKlavan,videos,raw,0.7889,196,1765,846,the ep to w is,0.0646
@AnthonyBrianLogan,streams,raw,0.7457,52,739,367,abl live and more iran,0.0704
@AnthonyBrianLogan,videos,raw,0.6766,248,2407,1231,in the to after of,0.015
@AsmonTV,videos,raw,0.8591,875,4984,1099,this is the f i,0.061
@AssociatedPress,streams,raw,0.8734,1151,11884,2352,live in of on the,0.0947
@AssociatedPress,videos,raw,0.8418,2500,28979,6357,in to the of and,0.036
@BBCNews,videos,raw,0.9858,2440,30050,4870,bbc news the in to,0.0698
@BadEmpanadaLive,videos,raw,0.7009,298,2047,991,the is to in a,0.0288
@BadFaithPodcast,videos,raw,0.7061,81,985,600,w the is on left,0.0741
@BelleRanch,videos,raw,1.0436,822,9012,1815,about talk let's trump and,0.0948
@BenShapiro,videos,raw,0.8056,525,3988,1563,the to is a ben,0.0622
@BlackConservativePerspective,videos,raw,0.8008,1271,18814,3034,after to as trump over,0.0287
@BlazeTV,videos,raw,0.7671,868,10645,2801,the is in to a,0.0402
@BreakThroughNews,streams,raw,0.8024,57,616,285,live iran trump the war,0.0568
@BreakThroughNews,videos,raw,0.8217,242,2665,1128,the w s to iran,0.0402
@BrittanyVenti,videos,raw,0.5415,55,389,251,to the thequartering for a,0.0257
@CBSNews,streams,raw,0.8842,368,4593,1209,full video on in house,0.069
@CBSNews,videos,raw,0.8097,2500,29076,5604,to in of on the,0.0231
@CNN,streams,raw,0.7404,94,791,440,trump iran full house conference,0.0329
@CNN,videos,raw,0.832,1757,18042,4713,trump the to iran in,0.0252
@CamHigby,streams,raw,0.7266,59,415,185,live the minneapolis in on,0.0627
@CamHigby,videos,raw,0.727,186,1825,754,i the to in ice,0.0219
@CashJordan,videos,raw,0.7126,299,3191,910,trump as mamdani iran s,0.0382
@ChadPrather1,streams,raw,0.825,201,1779,675,the when of god to,0.0809
@ChadPrather1,videos,raw,0.7006,160,1762,909,the of in a s,0.0448
@ClipsCandaceOwens,videos,raw,0.7484,192,1300,603,the kirk candace to charlie,0.0438
@ClubRandomPodcast,videos,raw,0.7413,197,1678,636,maher bill club random with,0.0727
@ColemanHughesOfficial,videos,raw,0.6433,54,502,305,the a of is and,0.0518
@CoreyGilShusterAskProject,videos,raw,0.7642,53,509,208,israelis you the do what,0.0707
@DailyDenims,videos,raw,0.7691,215,1949,860,denims the is to a,0.1108
@DannyHaiphongYT,streams,raw,0.8483,227,2990,693,iran trump us as war,0.0585
@DannyHaiphongYT,videos,raw,0.8541,64,838,323,iran trump us war in,0.0489
@DarkHorsePod,videos,raw,0.6866,70,715,436,darkhorse on the of bret,0.0783
@DemocracyDocket,videos,raw,0.8227,129,1282,571,the trump to is trump's,0.046
@DemocracyNow,videos,raw,0.8798,814,10290,3160,s u of on world,0.0304
@DestinyDGGClips,videos,raw,0.8257,209,2003,748,this the destiny hasan is,0.0275
@DoubleDownNews,videos,raw,0.7513,66,652,297,the to israel you want,0.0613
@DrSteveTurleyTV,videos,raw,0.868,442,4376,1291,the just as trump to,0.034
@DropSiteNews,videos,raw,0.8102,204,2171,1027,the iran s in to,0.0258
@DueDissidence,streams,raw,0.6786,112,1727,950,trump iran w in at,0.0261
@DueDissidence,videos,raw,0.7734,643,6059,2358,in to trump for on,0.0203
@DylanBurnsLIVE,videos,raw,0.7111,190,1449,747,ukraine trump in to the,0.0324
@EzraKleinShow,videos,raw,0.8322,65,761,293,the klein ezra show of,0.1314
@FarronBalanced,streams,raw,0.6882,188,1408,655,trump as to republicans after,0.0866
@FarronBalanced,videos,raw,0.7793,1780,14780,3109,trump to s is in,0.0675
@Firstpost,streams,raw,0.8867,2500,35575,5473,live iran us trump war,0.0688
@Firstpost,videos,raw,0.964,2500,35297,6275,firstpost n18g vantage on with,0.0399
@FleccasTalks,videos,raw,0.5961,290,1356,913,ep the to a new,0.0442
@Forbes,videos,raw,0.8264,1256,14838,4084,the s to how a,0.0437
@Forthepeoplepodcast305,videos,raw,0.7272,115,1125,666,to the trump in iran,0.0258
@FoxNews,streams,raw,0.7666,645,6230,1814,trump in on at the,0.0364
@FoxNews,videos,raw,0.8166,2500,23951,5317,in to the iran trump,0.0207
@FoxNewsChannelClips,videos,raw,0.7683,2500,25304,6261,to the in is of,0.0206
@FreshFitMiami,streams,raw,0.7028,75,839,461,the to a her in,0.0334
@FreshFitMiami,videos,raw,0.7601,111,1295,564,the a women and to,0.0324
@GeopoliticalEconomyReport,videos,raw,0.8662,72,826,360,the is us iran war,0.0581
@GlennKirschner2,videos,raw,0.799,262,2436,923,to trump's trump the of,0.0353
@GrahamAllen,videos,raw,0.7457,247,2359,1062,the candace to owens in,0.0445
@HangOutwithSeanHannity,videos,raw,0.7539,154,1718,685,the with out hannity sean,0.0501
@HasanAbi,videos,raw,0.7909,628,3414,1244,is the this to trump,0.0469
@HasanAbiVODs3,videos,raw,1.0241,181,1335,388,hasanabi 2026 august july may,0.1356
@HasanReactionsfanTwo,videos,raw,0.8324,340,3373,1110,reacts hasanabi to trump the,0.1008
@HasanabiClips,videos,raw,0.9075,474,5072,1583,hasanabi reacts to the is,0.086
@JackCocchiarellaShow,videos,raw,0.7152,1524,12557,1311,trump as it to this,0.0852
@JacksonHinkleOfficial,streams,raw,0.8009,81,703,298,live iran war s candace,0.1124
@JacksonHinkleOfficial,videos,raw,0.7397,388,2357,883,iran war candace kirk owens,0.0556
@JamarlThomas,streams,raw,0.8196,223,2585,1025,iran us trump war to,0.0534
@JamarlThomas,videos,raw,0.7903,274,3039,1078,the iran is us war,0.0322
@JesseKellyDC,videos,raw,0.7187,504,4174,1339,to trump the democrat in,0.0335
@JillianMichaels,videos,raw,0.7494,457,4440,1575,the s to is in,0.0669
@JustPearlyThings,streams,raw,0.7767,96,783,395,women the to are men,0.037
@JustPearlyThings,videos,raw,0.7869,669,5213,1579,the women to a of,0.0432
@KimIversen,videos,raw,0.8103,534,4620,1669,the to is trump iran,0.0271
@LIVESNEAKO,streams,raw,0.7153,69,507,254,irl in stream day sneako,0.0493
@LIVESNEAKO,videos,raw,0.8266,479,3130,1043,sneako the is to tate,0.0537
@LeejaMiller,videos,raw,0.602,60,430,257,the to is a explainer,0.0698
@LegalAFMTN,videos,raw,0.8618,2500,23400,2873,trump as in to court,0.0785
@LegalEagle,videos,raw,0.6957,105,662,404,the is trump's a trump,0.0287
@LeverNews,videos,raw,0.811,73,761,378,the lever time to plan,0.0591
@LiberalHivemind,videos,raw,0.7869,846,5539,1427,the just is this a,0.0525
@LukeBeasley,streams,raw,0.963,246,2480,569,trump breaking show bonus 2026,0.0585
@LukeBeasley,videos,raw,0.8807,1162,10377,1369,trump this s watch on,0.0513
@MLChristiansen,streams,raw,0.7873,77,1299,595,mc live 26 guest iran,0.0577
@MLChristiansen,videos,raw,0.6578,118,1661,958,the mc live clips and,0.0373
@MarkDice,videos,raw,0.739,92,1066,599,the and to on what,0.0413
@MattWalsh,videos,raw,0.8231,297,3359,1340,the ep is this a,0.0572
@MegynKelly,videos,raw,0.7774,1651,23053,4515,the and with in of,0.0337
@MeidasTouch,streams,raw,0.9446,627,6336,1118,live trump as breaking in,0.093
@MeidasTouch,videos,raw,0.8284,2500,21711,2271,trump as in on war,0.0962
@MichaelKnowles,videos,raw,0.7269,472,4273,1766,the to michael in knowles,0.029
@MichaelMaliceofficial,videos,raw,0.6988,55,598,320,your welcome the with michael,0.0652
@MikeFromPA,videos,raw,0.7881,129,935,490,mike the is hasan why,0.0396
@ModernDayDebate,streams,raw,0.7978,109,1173,420,vs debate is the or,0.11
@MrTariqNasheed,videos,raw,0.8514,403,3600,1213,the to fba fbas this,0.0303
@MyronGainesX,streams,raw,0.6984,245,2909,1170,iran and the to us,0.0241
@MyronGainesX,videos,raw,0.8931,389,4300,1423,the myron and s to,0.05
@NBCNews,streams,raw,1.0752,367,3850,736,news nbc live the trump,0.0634
@NBCNews,videos,raw,0.8524,2500,25656,5291,in to now s the,0.0212
@NPR,videos,raw,0.7784,70,862,492,the to and in s,0.0394
@NYTPodcasts,videos,raw,0.8855,481,5205,1798,the and s a trump,0.0576
@NewsNation,streams,raw,0.8647,302,3238,1136,with live watch trump the,0.0398
@NewsNation,videos,raw,0.8846,2500,30216,6040,in to live newsnation the,0.0268
@NewsmaxTV,streams,raw,1.0312,399,5874,1439,the show 2026 rob carson,0.0902
@NewsmaxTV,videos,raw,0.8482,2500,30513,6120,the to trump of america,0.0341
@NickCruseRBN,streams,raw,0.7336,103,1507,715,iran trump and to the,0.0352
@NovaraMedia,videos,raw,0.8377,585,5008,1776,the is novaralive s to,0.0349
@OfficialSaharTV,videos,raw,0.7724,893,10044,2077,to the then in muslim,0.0275
@OutKick,videos,raw,0.7431,51,654,333,the clay travis w outkick,0.078
@OwenJonesTalks,videos,raw,0.8104,233,1963,798,iran the s is israel,0.028
@OwenReport,streams,raw,0.8461,178,2442,989,trump the and to as,0.0344
@OwenReport,videos,raw,0.7992,388,3734,1325,trump the to and is,0.0332
@PBDPodcast,streams,raw,0.6635,118,1314,745,pbd podcast iran trump s,0.0906
@POLITICO,videos,raw,0.8111,295,2579,1021,the s trump on and,0.0461
@PTLRadioShow,streams,raw,0.7966,201,1976,972,trump in to iran of,0.044
@PTLRadioShow,videos,raw,0.8462,1684,17300,2762,maga trump brian shapiro on,0.0441
@PartOfTheProblem,videos,raw,0.8789,103,1163,367,the of dave smith part,0.1238
@PhillipScottPodcast,streams,raw,0.8426,153,2293,877,black to in the woman,0.0349
@PiersMorganUncensored,videos,raw,0.7453,181,2510,1160,on iran trump with piers,0.0271
@PiscoLitty,videos,raw,0.5975,56,495,313,debate the maga trump on,0.0505
@Politicon,videos,raw,0.9816,496,4476,1400,the james carville trump with,0.0462
@PoliticsGirl,videos,raw,0.747,116,661,356,the a with conversation is,0.0484
@PoliticsJOE,videos,raw,0.7924,339,3248,1071,the in starmer keir on,0.0345
@PragerU,videos,raw,0.9033,385,4398,1601,the prageru s on of,0.0623
@RSBN,streams,raw,1.0689,337,4886,800,26 replay live trump the,0.0655
@RSBN,videos,raw,0.95,1640,24277,3338,26 watch the trump president,0.0654
@RealAlexClark,videos,raw,0.7319,79,996,629,the your dr to why,0.0331
@RealAmericasVoice,streams,raw,0.958,1543,19046,3465,w the trump war as,0.0246
@RealAmericasVoice,videos,raw,0.7237,2500,25971,5040,the trump s on iran,0.0227
@RealDanBongino,videos,raw,0.7606,266,2036,955,ep the is to this,0.0727
@RebelHQ,videos,raw,0.7643,1292,12040,2577,trump as in to gets,0.0338
@RebelNewsOnline,streams,raw,0.8377,195,2503,1015,rebel roundup roundtable on carney,0.0555
@RebelNewsOnline,videos,raw,0.7833,1358,13549,3591,the to in of is,0.0376
@RedactedNews,streams,raw,0.8289,140,1971,762,redacted the iran is and,0.0365
@RedactedNews,videos,raw,0.8416,452,5515,1557,the is redacted and to,0.0359
@RekietaLaw,streams,raw,0.7056,106,1300,610,and the trial day a,0.0315
@RestPoliticsUS,videos,raw,0.8814,220,1912,586,the trump ad free trump's,0.0445
@Reuters,streams,raw,0.7913,2008,18471,3301,live in of on at,0.1081
@Reuters,videos,raw,0.8125,2500,24155,6209,in to reuters us of,0.0232
@RileyGaines,videos,raw,0.7646,143,1566,647,the riley gaines show s,0.0926
@RobertGouveiaEsq,streams,raw,0.5929,385,3508,1318,election trump court judge supreme,0.0208
@RobertGouveiaEsq,videos,raw,0.7355,696,5788,1712,in after election trump judge,0.0354
@RonPlacone,videos,raw,0.6862,66,821,560,the of to in a,0.0414
@RubinReport,streams,raw,0.7035,114,1426,508,s the as to of,0.0266
@RubinReport,videos,raw,0.749,1047,13036,2434,s the to as this,0.0212
@RufoandLomez,videos,raw,0.7659,80,843,484,the ep of is trump,0.0747
@SMN,videos,raw,0.8368,197,2038,607,more news the ad free,0.0407
@SabbySabs,streams,raw,0.6898,103,1512,711,trump iran joins kirk reveal,0.039
@SabbySabs,videos,raw,0.7243,626,3774,1450,trump iran breaking w is,0.0313
@SaltyCracker,videos,raw,0.7709,387,4019,1702,to a in after the,0.0314
@SecularTalk,videos,raw,0.9448,1458,19481,3173,the kyle kulinski show trump,0.0647
@Semafor,videos,raw,0.9046,153,1804,904,semafor on the ceo world,0.0377
@SkyNews,streams,raw,0.817,1968,22570,4059,the in with to of,0.028
@SkyNews,videos,raw,0.8293,2500,27523,5854,the to in of is,0.026
@StatusCoup,streams,raw,0.9172,157,1757,541,live ice breaking trump from,0.0854
@StatusCoup,videos,raw,0.7116,517,5223,1761,ice trump to s on,0.0371
@StevenCrowder,videos,raw,0.7369,169,1176,597,the is this to a,0.051
@StosselTV,videos,raw,0.6133,50,574,336,the and why how ep,0.0575
@Styxhexenhammer666,videos,raw,0.7575,446,3658,1704,the and to is a,0.0569
@SydneyWatson,videos,raw,0.5886,61,408,240,is the so to has,0.0686
@TechCrunch,videos,raw,0.8415,145,1817,765,equity podcast the to build,0.0413
@TheAdamCarollaShow1,videos,raw,0.8011,395,4447,2003,the adam s and on,0.0344
@TheAmalaEkpunobi,videos,raw,0.7639,211,1661,735,the to this is she,0.0307
@TheAtlantic,videos,raw,0.9409,166,1335,609,the david frum show is,0.0891
@TheBrianKilmeadeShow,videos,raw,0.9316,352,4448,1366,kilmeade brian show the iran,0.0605
@TheDailyBeast,videos,raw,1.1484,322,3964,890,the trump trump's daily beast,0.0595
@TheDamageReport,streams,raw,0.7164,271,4051,1228,m trump trump's to on,0.0449
@TheDamageReport,videos,raw,0.7501,2500,23580,2608,as trump 2026 with in,0.04
@TheDonLemonShow,streams,raw,1.0519,400,4560,1151,live lemon hot topics at,0.0485
@TheDonLemonShow,videos,raw,0.9024,366,3750,1234,lemon drop the trump hot,0.0661
@TheEconomist,videos,raw,0.9554,137,1376,522,the economist s why is,0.1235
@TheHumanistReport,videos,raw,0.7296,154,1883,944,to trump s the is,0.0292
@TheJoyReidShow,streams,raw,1.0327,140,1653,521,the joy reid show live,0.1192
@TheJoyReidShow,videos,raw,0.9222,238,3115,1081,the joy reid show and,0.1098
@TheLincolnProject,videos,raw,0.7571,123,882,536,the trump is to s,0.0499
@TheMajorityReport,streams,raw,0.8543,195,2754,1258,live mr w trump s,0.0657
@TheMajorityReport,videos,raw,0.7774,1657,12601,3595,the is tmr trump to,0.0242
@TheMichaelCohenShow,videos,raw,0.8177,479,4234,1291,trump the after on is,0.0598
@TheOfficerTatum,streams,raw,0.9339,194,2449,839,ep show live tatum officer,0.0612
@TheOfficerTatum,videos,raw,0.7295,617,6498,1799,after in the on to,0.0325
@ThePodcastoftheLotusEaters,streams,raw,0.9061,179,1288,521,with breakfast beau 2026 the,0.0505
@ThePodcastoftheLotusEaters,videos,raw,0.8137,622,3237,1258,the is of s to,0.0902
@TheQuartering,videos,raw,0.6829,675,5002,1516,in ice the woke just,0.0184
@TheRealTabithaSpeaks,videos,raw,0.8276,452,4870,1737,the to and a s,0.0405
@TheSerfTimes,streams,raw,0.5969,103,1409,792,and hasan epstein vs joe,0.0206
@TheSerfTimes,videos,raw,0.6838,247,1954,955,the and is to of,0.0363
@TheVaushPit,videos,raw,0.767,403,2967,1205,the is to this a,0.0448
@TheYoungTurks,streams,raw,0.8218,428,4614,1076,m trump the war to,0.0412
@TheYoungTurks,videos,raw,0.9032,2500,17841,3076,2026 the tyt hour trump,0.0424
@The_Crucible,videos,raw,0.7264,226,1593,703,the debate with gets to,0.0358
@TimDillonShow,videos,raw,0.8302,68,834,343,the tim dillon show bonus,0.1055
@Tim_Black,videos,raw,0.7412,329,3749,1326,the black a to and,0.0397
@Timcast,videos,raw,0.6684,183,1350,682,is the this ft democrats,0.0333
@TimcastIRL,streams,raw,0.8036,154,1780,772,timcast irl trump in war,0.0854
@TimcastIRL,videos,raw,0.8074,855,5919,1938,is they it this to,0.0289
@TimcastNews,videos,raw,0.8702,534,3683,1162,tim pool this is it,0.0453
@TimesNowWorld,streams,raw,0.8552,2500,36390,4783,live news world us trump,0.0768
@TimesNowWorld,videos,raw,0.847,2500,35655,6026,world iran us in now,0.023
@TomiLahrenIsFearless,videos,raw,0.6335,118,1354,721,the tomi lahren s to,0.0332
@TuckerCarlson,videos,raw,0.7825,119,1753,781,the s and to on,0.0656
@USATODAY,streams,raw,0.8539,417,4897,1300,live trump in to on,0.059
@USATODAY,videos,raw,0.8185,2221,28656,6552,trump in to the of,0.0238
@UnHerd,videos,raw,0.8798,83,828,344,the varoufakis econoclasts munchau yanis,0.1159
@Vaush,videos,raw,0.7751,453,3332,1195,is the trump to this,0.0384
@VivaFrei,streams,raw,0.7384,52,747,418,more ep and the in,0.0576
@VivaFrei,videos,raw,0.7008,331,4765,2035,the to of in is,0.0267
@Vox,videos,raw,0.9253,133,1150,502,the gray area america to,0.0896
@X22Report-y5y,videos,raw,0.9173,395,6661,1701,the ep is trump to,0.0763
@XAVIAER,videos,raw,0.6505,71,693,421,the to are is s,0.039
@Xanderhal,streams,raw,0.7187,108,1301,662,more the is trump vs,0.0815
@Xanderhal,videos,raw,0.7421,316,2672,1115,the is to are trump,0.0423
@ZeihanonGeopolitics,videos,raw,0.892,217,1908,642,peter zeihan the of s,0.1127
@ZubyMusic,videos,raw,0.7422,139,1179,595,the is a to of,0.0619
@aaronparnas1,videos,raw,0.9473,819,9961,1738,breaking trump as and in,0.0681
@adammockler,videos,raw,0.7623,1117,7282,1139,trump as it this on,0.0812
@ajplus,videos,raw,0.6167,50,415,243,the s is gaza u,0.0554
@aljazeeraenglish,videos,raw,0.8372,2500,28688,5215,in iran us of the,0.0255
@axios,videos,raw,0.961,137,1296,575,the axios s ai with,0.061
@bbrettcooper,videos,raw,0.755,143,1261,702,the episode is a to,0.0428
@bennyjohnson,streams,raw,0.7375,168,2433,920,in trump to live the,0.0275
@bennyjohnson,videos,raw,0.6954,1508,20081,3510,in trump the to on,0.0221
@breakingpoints,videos,raw,0.7459,1037,8752,2845,trump iran as in to,0.0382
@briantylercohen,videos,raw,0.8784,1081,9133,1320,trump on in another day,0.0743
@bulwarkmedia,streams,raw,0.8594,228,2520,1034,trump breaking live the on,0.0444
@bulwarkmedia,videos,raw,0.9014,1826,20314,3862,the trump w s bulwark,0.0454
@cafedotcom,videos,raw,0.7292,54,678,392,preet bharara the trump s,0.059
@chicksonright,streams,raw,0.6131,179,2497,1195,candace trump s iran tucker,0.0296
@chicksonright,videos,raw,0.8063,475,4623,1565,candace s the owens and,0.0294
@chinainsights-r2w,videos,raw,0.8,278,3405,1428,the china s insights a,0.0376
@chriscuomo,videos,raw,0.7863,208,1814,674,the trump s is why,0.0557
@clayandbuck,videos,raw,0.7102,581,6574,2427,the and on in to,0.0382
@deanwithrs,streams,raw,0.9433,266,3181,1044,maga ep debating trump is,0.0883
@deanwithrs,videos,raw,0.778,265,2534,734,maga man to trump this,0.09
@destiny,videos,raw,0.7001,267,1616,763,the destiny debate is to,0.0353
@destinyhqclips,videos,raw,0.7105,197,1348,571,destiny the debate hasan to,0.066
@dineshdsouza,videos,raw,0.7156,92,634,373,the of dinesh podcast is,0.0757
@dollemore,videos,raw,0.783,1439,16006,3635,trump to in on of,0.0532
@fastpoliticspodcast,videos,raw,0.9189,145,1409,552,w trump trump's the rick,0.0767
@fightbackpodcast,videos,raw,0.8371,627,5767,1855,the and jake shields is,0.0484
@franifio,streams,raw,0.7178,62,710,455,w and the ep with,0.0366
@franifio,videos,raw,0.7469,282,2048,1022,the is s to on,0.04
@glennbeck,streams,raw,0.9536,125,1755,650,26 1 hour the glenn,0.0724
@glennbeck,videos,raw,0.8327,460,4985,1614,the this is to trump,0.0566
@harryjsisson,videos,raw,0.8679,681,4741,772,trump just as this on,0.0937
@hutch,streams,raw,0.5339,50,331,203,hasan destiny lib vs to,0.0423
@hutch,videos,raw,0.6952,162,1120,549,the this to hasan is,0.0393
@jimacosta,streams,raw,0.7924,160,1962,859,live the and trump breaking,0.0382
@jimacosta,videos,raw,0.7412,313,3814,1473,the trump and on to,0.0378
@jlptalk,streams,raw,0.9607,187,2436,856,jlp 26 you mon thu,0.0768
@jlptalk,videos,raw,0.7996,304,4109,1528,jlp reacts to the of,0.0601
@joerogan,videos,raw,0.6587,141,894,416,joe rogan experience jre mma,0.1443
@judgingfreedom,streams,raw,0.9667,697,6054,1305,the trump iran prof is,0.0327
@judgingfreedom,videos,raw,0.7751,355,3344,948,the iran is why of,0.0733
@katiephangnews,videos,raw,0.8285,403,3746,916,trump as after epstein in,0.0718
@laurenchenclips,videos,raw,0.6633,109,953,575,the s is why a,0.0441
@lizwheeler,streams,raw,0.7026,70,697,386,ep the to in s,0.1004
