grouping,system,n_titles,n_tokens,n_types,tokens_per_title,type_token_ratio,zipf_top100,ranks_used_top100,zipf_top1000,ranks_used_top1000,zipf_top5000,ranks_used_top5000,zipf_r2_top1000,zipf_size_matched,zipf_size_matched_sd,top1_share,top_10
corpus,all edited uploads (balanced),155636,1612982,48959,10.36,0.0304,0.8592,100,0.7847,1000,1.0143,5000,0.9954,0.8129,0.0097,0.0245,the trump to in on of s is iran and
channel_group,left,64947,618335,26834,9.52,0.0434,0.8572,100,0.8244,1000,1.0867,5000,0.9963,0.818,0.0083,0.0383,trump the to in as on s is of iran
channel_group,neutral,39161,442699,28903,11.3,0.0653,0.8481,100,0.7922,1000,1.0063,5000,0.9945,0.8009,0.0108,0.0197,in to the of trump on iran s for us
channel_group,right,51528,551948,27779,10.71,0.0503,0.8282,100,0.7863,1000,1.0233,5000,0.9959,0.7865,0.0079,0.0336,the to in is of trump on and a s
title_label,left,3031,29617,6005,9.77,0.2028,0.8587,100,0.818,1000,0.9967,5000,0.9954,0.8471,0.007,0.038,trump the to is s in on of and as
title_label,right,2550,26617,6104,10.44,0.2293,0.7689,100,0.775,1000,0.9654,5000,0.996,0.773,0.0037,0.0408,the to is on trump in of and for s
title_label,neither,6881,62974,11081,9.15,0.176,0.8643,100,0.8113,1000,0.9644,5000,0.9964,0.8147,0.0058,0.0404,the to in is of a on s and trump
caps_style,all_caps,3980,24648,4808,6.19,0.1951,0.7581,100,0.8765,1000,0.9801,4808,0.9939,0.7935,0.0088,0.0247,the is trump this to it they in iran on
caps_style,selective_caps,57793,600713,26847,10.39,0.0447,0.81,100,0.7934,1000,1.0669,5000,0.9966,0.7837,0.0074,0.0321,trump the to in as on s is of iran
caps_style,title_case,53189,542216,30259,10.19,0.0558,0.843,100,0.7971,1000,1.0165,5000,0.9963,0.817,0.0104,0.034,the trump to s in on of is and a
caps_style,sentence_case,39555,441122,28459,11.15,0.0645,0.8618,100,0.7962,1000,1.0137,5000,0.9953,0.8094,0.0109,0.0216,to in the of trump on iran and for s
caps_style,mixed_other,274,1914,800,6.99,0.418,0.753,100,0.7008,800,0.7008,800,0.9211,,,0.0481,this is the to f it i a you just
caps_style,short_other,845,2369,794,2.8,0.3352,0.9581,100,0.7639,794,0.7639,794,0.873,,,0.0595,26 episode full hasanabi 2026 bloomberg surveillance 4 5 a
